canonical_family_id,benchmark_source,template_id,domain,cue_type,original_or_expansion,source_family_path,solver_certificate_path,parent_family_id,is_canonical
CM_A_001,stage6_original,CM_A_001,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_001.json,results/stage6/generated_full_benchmark/CM_A_001.json,,True
CM_A_002,stage6_original,CM_A_002,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_002.json,results/stage6/generated_full_benchmark/CM_A_002.json,,True
CM_A_003,stage6_original,CM_A_003,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_003.json,results/stage6/generated_full_benchmark/CM_A_003.json,,True
CM_A_004,stage6_original,CM_A_004,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_004.json,results/stage6/generated_full_benchmark/CM_A_004.json,,True
CM_A_005,stage6_original,CM_A_005,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_005.json,results/stage6/generated_full_benchmark/CM_A_005.json,,True
CM_A_006,stage6_original,CM_A_006,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_006.json,results/stage6/generated_full_benchmark/CM_A_006.json,,True
CM_A_007,stage6_original,CM_A_007,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_007.json,results/stage6/generated_full_benchmark/CM_A_007.json,,True
CM_A_008,stage6_original,CM_A_008,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_008.json,results/stage6/generated_full_benchmark/CM_A_008.json,,True
CM_A_009,stage6_original,CM_A_009,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_009.json,results/stage6/generated_full_benchmark/CM_A_009.json,,True
CM_A_010,stage6_original,CM_A_010,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_010.json,results/stage6/generated_full_benchmark/CM_A_010.json,,True
CM_A_STD_001,stage6_original,CM_A_STD_001,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_001.json,results/stage6/generated_full_benchmark/CM_A_STD_001.json,,True
CM_A_STD_002,stage6_original,CM_A_STD_002,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_002.json,results/stage6/generated_full_benchmark/CM_A_STD_002.json,,True
CM_A_STD_003,stage6_original,CM_A_STD_003,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_003.json,results/stage6/generated_full_benchmark/CM_A_STD_003.json,,True
CM_A_STD_004,stage6_original,CM_A_STD_004,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_004.json,results/stage6/generated_full_benchmark/CM_A_STD_004.json,,True
CM_A_STD_005,stage6_original,CM_A_STD_005,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_005.json,results/stage6/generated_full_benchmark/CM_A_STD_005.json,,True
CM_A_STD_006,stage6_original,CM_A_STD_006,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_006.json,results/stage6/generated_full_benchmark/CM_A_STD_006.json,,True
CM_A_STD_007,stage6_original,CM_A_STD_007,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_007.json,results/stage6/generated_full_benchmark/CM_A_STD_007.json,,True
CM_A_STD_008,stage6_original,CM_A_STD_008,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_008.json,results/stage6/generated_full_benchmark/CM_A_STD_008.json,,True
CM_A_STD_009,stage6_original,CM_A_STD_009,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_009.json,results/stage6/generated_full_benchmark/CM_A_STD_009.json,,True
CM_A_STD_010,stage6_original,CM_A_STD_010,mechanics,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_010.json,results/stage6/generated_full_benchmark/CM_A_STD_010.json,,True
CM_A_STD_011,stage6_original,CM_A_STD_011,electrostatics_circuits,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_011.json,results/stage6/generated_full_benchmark/CM_A_STD_011.json,,True
CM_A_STD_012,stage6_original,CM_A_STD_012,electrostatics_circuits,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_012.json,results/stage6/generated_full_benchmark/CM_A_STD_012.json,,True
CM_A_STD_013,stage6_original,CM_A_STD_013,electrostatics_circuits,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_013.json,results/stage6/generated_full_benchmark/CM_A_STD_013.json,,True
CM_A_STD_014,stage6_original,CM_A_STD_014,electrostatics_circuits,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_014.json,results/stage6/generated_full_benchmark/CM_A_STD_014.json,,True
CM_A_STD_015,stage6_original,CM_A_STD_015,electrostatics_circuits,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_015.json,results/stage6/generated_full_benchmark/CM_A_STD_015.json,,True
CM_A_STD_016,stage6_original,CM_A_STD_016,electrostatics_circuits,irrelevant_variable,original,results/stage6/generated_full_benchmark/CM_A_STD_016.json,results/stage6/generated_full_benchmark/CM_A_STD_016.json,,True
