activation_site,array_task_id,claim_level,claim_supported,command,completed_at,config_file,config_hash,correction_history,dataset_hash,dataset_version,discovery_or_confirmation,donor_policy,dtype,experiment_class,experiment_id,family_manifest,family_manifest_hash,git_commit,git_dirty,hardware,hypothesis,job_id,model_id,model_path,model_revision,model_role,notes,null_interpretation,paper_eligibility,parent_experiment_id,patch_head,patch_layer,provenance_status,quantization,random_seeds,raw_data_rows,raw_output_paths,run_attempt_id,runtime_hours,scientific_null,scientific_question,sensitivity_metric,sensitivity_threshold,split_hash,split_version,stage,status,stderr_path,stdout_path,submitted_at,summary_defaulted_zero,summary_paths,supersedes_experiment_id,target_policy,task_id,token_position,tokenizer_hash,tokenizer_path
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,Historical behavioural run is registered for traceability; provenance remains partial pending full model/checkpoint/job metadata recovery.,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,behavioural,stage6_qwen_behavioural_full_rerun,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,primary_dense,Historical behavioural run is registered for traceability; provenance remains partial pending full model/checkpoint/job metadata recovery.,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage6/behavioural_full_rerun/qwen_primary_20260616T091228Z.jsonl""]",stage6_qwen_behavioural_full_rerun,,,What is Qwen's per-family shortcut sensitivity on the original benchmark?,S_lp,0.5,unresolved,unfrozen_discovery,Stage6,complete_exploratory,,,,,"[""results/stage6/analysis_d2/stage6_d1_per_family.csv""]",,,qwen_behavioural_full_rerun,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,Historical behavioural run is registered for traceability; provenance remains partial pending full model/checkpoint/job metadata recovery.,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,behavioural,stage6_llama_behavioural_full_rerun,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,llama_primary,,unresolved,primary_dense,Historical behavioural run is registered for traceability; provenance remains partial pending full model/checkpoint/job metadata recovery.,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl""]",stage6_llama_behavioural_full_rerun,,,What is Llama's per-family shortcut sensitivity on the original benchmark?,S_lp,0.5,unresolved,unfrozen_discovery,Stage6,complete_exploratory,,,,,"[""results/stage6/analysis_d2/stage6_d1_per_family.csv""]",,,llama_behavioural_full_rerun,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,Expansion behavioural run is registered for traceability; paper eligibility remains false until validation/provenance gates pass.,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,behavioural,stage11_expansion_behavioural_qwen,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,primary_dense,Expansion behavioural run is registered for traceability; paper eligibility remains false until validation/provenance gates pass.,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage11/behavioural_expansion/qwen_primary_20260620T084819Z.jsonl""]",stage11_expansion_behavioural_qwen,,,What is Qwen's shortcut sensitivity on the 15-family expansion?,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,complete_exploratory,,,,,"[""results/stage11/behavioural_expansion/per_family_summary.csv""]",,,qwen_expansion_behavioural,,unresolved,
resid_post_last_prompt,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage10_qwen_mean_probe_full_sweep,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,primary_dense,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage10/mean_probe_full_sweep_bigcompute/run_probing_events.jsonl""]",stage10_qwen_mean_probe_full_sweep,,,Does mean-state monitoring predict sensitivity across layers?,S_lp,0.5,unresolved,unfrozen_discovery,Stage10,complete_exploratory,,,,,"[""results/stage10/mean_probe_full_sweep_bigcompute/summary_resid_post_last_prompt.json""]",,,monitoring_mean_probe,,unresolved,
resid_post_last_prompt,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage10_qwen_per_variant_probe_sweep,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,primary_dense,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage10/per_variant_probe_sweep/run_per_variant_probe_sweep_events.jsonl""]",stage10_qwen_per_variant_probe_sweep,,,Can one prompt variant predict family sensitivity?,S_lp,0.5,unresolved,unfrozen_discovery,Stage10,complete_exploratory,,,,,"[""results/stage10/per_variant_probe_sweep/summary_per_variant_sweep.json""]",,,monitoring_per_variant_probe,,unresolved,
resid_post_last_prompt,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage6_qwen_variance_probe,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,primary_dense,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage6/probing/primary_variance/loo_predictions_variance.json""]",stage6_qwen_variance_probe,,,variance_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage6,complete_exploratory,,,,,"[""results/stage6/probing/primary_variance/summary_variance.json""]",,,variance_probe,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage8_qwen_variance_ensemble,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage8_qwen_variance_ensemble,,,variance_probe_ensemble,S_lp,0.5,unresolved,unfrozen_discovery,Stage8,partial_not_reportable,,,,,[],,,variance_probe_ensemble,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage8_qwen_variance_mlp,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage8_qwen_variance_mlp,,,variance_probe_mlp,S_lp,0.5,unresolved,unfrozen_discovery,Stage8,partial_not_reportable,,,,,[],,,variance_probe_mlp,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,baseline,stage9_embedding_entropy_baselines,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage9/baselines/entropy/entropy_per_family_scores.json""]",stage9_embedding_entropy_baselines,,,embedding_entropy_baselines,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,complete_exploratory,,,,,"[""results/stage9/baselines/entropy/entropy_baseline_summary.json"", ""results/stage9/baselines/entropy/embedding_vs_entropy_summary.json""]",,,embedding_entropy_baselines,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage8_qwen_domain_generalisation,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage8_qwen_domain_generalisation,,,heldout_domain_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage8,partial_not_reportable,,,,,[],,,heldout_domain_probe,,unresolved,
