expected_run_id,source,stage,experiment_family,model_id,configuration_identity,panel_identity,job_id_if_known,result_directory,raw_artifacts,summary_artifacts,logs,config,confidence,registry_experiment_id,mapping_status
results_appendix_formula_leakage_analysis_per_family_summary,summary_or_raw_artifact,appendix,analysis,unresolved,per_family_summary,unresolved,,results/appendix/formula_leakage/analysis,,results/appendix/formula_leakage/analysis/per_family_summary.csv,,,medium,appendix_formula_leakage,matched
results_appendix_formula_leakage_analysis_summary,summary_or_raw_artifact,appendix,analysis,unresolved,summary,unresolved,,results/appendix/formula_leakage/analysis,,results/appendix/formula_leakage/analysis/summary.json,,,medium,appendix_formula_leakage,matched
results_appendix_formula_leakage_behavioural_run_behavioural_events,summary_or_raw_artifact,appendix,behavioural,unresolved,run_behavioural_events,unresolved,,results/appendix/formula_leakage/behavioural,results/appendix/formula_leakage/behavioural/run_behavioural_events.jsonl,,results/appendix/formula_leakage/behavioural/run_behavioural_events.jsonl,,medium,appendix_formula_leakage,matched
results_appendix_formula_leakage_formula_leakage_analysis_summary,summary_or_raw_artifact,appendix,formula_leakage,unresolved,formula_leakage_analysis_summary,unresolved,,results/appendix/formula_leakage,,results/appendix/formula_leakage/formula_leakage_analysis_summary.json,,,medium,appendix_formula_leakage,matched
results_appendix_formula_leakage_formula_leakage_summary,summary_or_raw_artifact,appendix,formula_leakage,unresolved,formula_leakage_summary,unresolved,,results/appendix/formula_leakage,,results/appendix/formula_leakage/formula_leakage_summary.json,,,medium,appendix_formula_leakage,matched
results_behavioural_dry_run_qwen_run_behavioural_events,summary_or_raw_artifact,behavioural,dry_run_qwen,qwen,run_behavioural_events,unresolved,,results/behavioural/dry_run_qwen,results/behavioural/dry_run_qwen/run_behavioural_events.jsonl,,results/behavioural/dry_run_qwen/run_behavioural_events.jsonl,,medium,,unmatched
results_stage10_answer_bias_answer_bias_results,summary_or_raw_artifact,stage10,answer_bias,unresolved,answer_bias_results,unresolved,,results/stage10/answer_bias,results/stage10/answer_bias/answer_bias_results.csv,,,,medium,,unmatched
results_stage10_answer_bias_answer_bias_summary,summary_or_raw_artifact,stage10,answer_bias,unresolved,answer_bias_summary,unresolved,,results/stage10/answer_bias,,results/stage10/answer_bias/answer_bias_summary.json,,,medium,,unmatched
results_stage10_answer_bias_run_causal_patching_events,summary_or_raw_artifact,stage10,answer_bias,unresolved,run_causal_patching_events,unresolved,,results/stage10/answer_bias,results/stage10/answer_bias/run_causal_patching_events.jsonl,,results/stage10/answer_bias/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_attention_llama_run_attention_analysis_events,summary_or_raw_artifact,stage10,attention_llama,llama,run_attention_analysis_events,unresolved,,results/stage10/attention_llama,results/stage10/attention_llama/run_attention_analysis_events.jsonl,,results/stage10/attention_llama/run_attention_analysis_events.jsonl,,medium,,unmatched
results_stage10_attention_patterns_attention_pattern_summary,summary_or_raw_artifact,stage10,attention_patterns,unresolved,attention_pattern_summary,unresolved,,results/stage10/attention_patterns,,results/stage10/attention_patterns/attention_pattern_summary.json,,,medium,,unmatched
results_stage10_attention_patterns_run_causal_patching_events,summary_or_raw_artifact,stage10,attention_patterns,unresolved,run_causal_patching_events,unresolved,,results/stage10/attention_patterns,results/stage10/attention_patterns/run_causal_patching_events.jsonl,,results/stage10/attention_patterns/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_baselines_token_entropy_run_token_entropy_baseline_events,summary_or_raw_artifact,stage10,token_entropy,unresolved,run_token_entropy_baseline_events,unresolved,,results/stage10/baselines/token_entropy,results/stage10/baselines/token_entropy/run_token_entropy_baseline_events.jsonl,,results/stage10/baselines/token_entropy/run_token_entropy_baseline_events.jsonl,,medium,,unmatched
results_stage10_baselines_token_entropy_token_entropy_summary,summary_or_raw_artifact,stage10,token_entropy,unresolved,token_entropy_summary,unresolved,,results/stage10/baselines/token_entropy,,results/stage10/baselines/token_entropy/token_entropy_summary.json,,,medium,,unmatched
results_stage10_benchmark_expansion_expansion_summary,summary_or_raw_artifact,stage10,benchmark_expansion,unresolved,expansion_summary,unresolved,,results/stage10/benchmark_expansion,,results/stage10/benchmark_expansion/expansion_summary.json,,,medium,,unmatched
results_stage10_benchmark_expansion_render_all_templates_events,summary_or_raw_artifact,stage10,benchmark_expansion,unresolved,render_all_templates_events,unresolved,,results/stage10/benchmark_expansion,results/stage10/benchmark_expansion/render_all_templates_events.jsonl,,results/stage10/benchmark_expansion/render_all_templates_events.jsonl,,medium,,unmatched
results_stage10_cot_distractor_mention_cot_mention_summary,summary_or_raw_artifact,stage10,cot_distractor_mention,unresolved,cot_mention_summary,unresolved,,results/stage10/cot_distractor_mention,,results/stage10/cot_distractor_mention/cot_mention_summary.json,,,medium,,unmatched
results_stage10_cross_family_sufficiency_cross_family_sufficiency_results,summary_or_raw_artifact,stage10,cross_family_sufficiency,unresolved,cross_family_sufficiency_results,unresolved,,results/stage10/cross_family_sufficiency,results/stage10/cross_family_sufficiency/cross_family_sufficiency_results.csv,,,,medium,,unmatched
results_stage10_cross_family_sufficiency_cross_family_sufficiency_summary,summary_or_raw_artifact,stage10,cross_family_sufficiency,unresolved,cross_family_sufficiency_summary,unresolved,,results/stage10/cross_family_sufficiency,,results/stage10/cross_family_sufficiency/cross_family_sufficiency_summary.json,,,medium,,unmatched
results_stage10_cross_family_sufficiency_run_causal_patching_events,summary_or_raw_artifact,stage10,cross_family_sufficiency,unresolved,run_causal_patching_events,unresolved,,results/stage10/cross_family_sufficiency,results/stage10/cross_family_sufficiency/run_causal_patching_events.jsonl,,results/stage10/cross_family_sufficiency/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_cue_b_only_probe_loo_predictions_resid_post_last_prompt,summary_or_raw_artifact,stage10,cue_b_only_probe,unresolved,loo_predictions_resid_post_last_prompt,unresolved,,results/stage10/cue_b_only_probe,results/stage10/cue_b_only_probe/loo_predictions_resid_post_last_prompt.json,,,,medium,,unmatched
