family_id,is_low_sensitivity,alpha,S_lp_injected,delta_S_lp
CM_A_001,True,0.0,-0.1875,-0.1875
CM_A_001,True,0.25,0.0625,0.0625
CM_A_001,True,0.5,0.21875,0.21875
CM_A_001,True,1.0,0.53125,0.53125
CM_A_001,True,1.5,0.875,0.875
CM_A_001,True,2.0,1.234375,1.234375
CM_A_STD_001,True,0.0,-0.359375,0.078125
CM_A_STD_001,True,0.25,-0.203125,0.234375
CM_A_STD_001,True,0.5,0.03125,0.46875
CM_A_STD_001,True,1.0,0.375,0.8125
CM_A_STD_001,True,1.5,0.765625,1.203125
CM_A_STD_001,True,2.0,1.125,1.5625
CM_A_STD_009,True,0.0,-1.046875,-0.046875
CM_A_STD_009,True,0.25,-0.984375,0.015625
CM_A_STD_009,True,0.5,-0.875,0.125
CM_A_STD_009,True,1.0,-0.859375,0.140625
CM_A_STD_009,True,1.5,-0.75,0.25
CM_A_STD_009,True,2.0,-0.6875,0.3125
CM_A_STD_012,True,0.0,-0.609375,0.09375
CM_A_STD_012,True,0.25,-0.421875,0.28125
CM_A_STD_012,True,0.5,-0.34375,0.359375
CM_A_STD_012,True,1.0,-0.0625,0.640625
CM_A_STD_012,True,1.5,0.203125,0.90625
CM_A_STD_012,True,2.0,0.546875,1.25
CM_A_STD_013,True,0.0,-0.875,-0.03125
CM_A_STD_013,True,0.25,-0.9375,-0.09375
CM_A_STD_013,True,0.5,-0.9375,-0.09375
CM_A_STD_013,True,1.0,-0.875,-0.03125
CM_A_STD_013,True,1.5,-0.90625,-0.0625
CM_A_STD_013,True,2.0,-0.75,0.09375
CM_A_STD_015,True,0.0,-0.453125,-0.015625
CM_A_STD_015,True,0.25,-0.46875,-0.03125
CM_A_STD_015,True,0.5,-0.40625,0.03125
CM_A_STD_015,True,1.0,-0.4375,0.0
CM_A_STD_015,True,1.5,-0.375,0.0625
CM_A_STD_015,True,2.0,-0.34375,0.09375
CM_A_STD_020,True,0.0,-0.109375,-0.046875
CM_A_STD_020,True,0.25,-0.0625,0.0
CM_A_STD_020,True,0.5,-0.03125,0.03125
CM_A_STD_020,True,1.0,-0.0625,0.0
CM_A_STD_020,True,1.5,-0.03125,0.03125
CM_A_STD_020,True,2.0,0.015625,0.078125
CM_B_002,True,0.0,-0.71875,-0.03125
CM_B_002,True,0.25,-0.5625,0.125
CM_B_002,True,0.5,-0.40625,0.28125
CM_B_002,True,1.0,-0.140625,0.546875
CM_B_002,True,1.5,0.125,0.8125
