family_id,donor_mode,donor_id,patch_layer,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,unrelated,TH_B_UM_001,16,10.03125,6.75,0.3271028037383178
CM_B_UM_059,unrelated,TH_B_UM_002,16,10.03125,6.59375,0.34267912772585674
CM_B_UM_059,unrelated,TH_B_UM_003,16,10.03125,7.34375,0.2679127725856698
CM_B_UM_059,unrelated,TH_B_UM_004,16,10.03125,8.90625,0.11214953271028039
CM_B_UM_059,unrelated,TH_B_UM_005,16,10.03125,9.40625,0.06230529595015577
CM_B_UM_032,unrelated,TH_B_UM_001,16,5.5625,-0.71875,1.1292134831460674
CM_B_UM_032,unrelated,TH_B_UM_002,16,5.5625,-0.96875,1.1741573033707866
CM_B_UM_032,unrelated,TH_B_UM_003,16,5.5625,-0.34375,1.0617977528089888
CM_B_UM_032,unrelated,TH_B_UM_004,16,5.5625,3.875,0.3033707865168539
CM_B_UM_032,unrelated,TH_B_UM_005,16,5.5625,3.6875,0.3370786516853933
CM_B_STD_006,unrelated,TH_B_UM_001,16,5.4375,4.59375,0.15517241379310343
CM_B_STD_006,unrelated,TH_B_UM_002,16,5.4375,4.625,0.14942528735632188
CM_B_STD_006,unrelated,TH_B_UM_003,16,5.4375,5.21875,0.04022988505747127
CM_B_STD_006,unrelated,TH_B_UM_004,16,5.4375,7.46875,-0.37356321839080464
CM_B_STD_006,unrelated,TH_B_UM_005,16,5.4375,7.4375,-0.367816091954023
CM_B_UM_055,unrelated,TH_B_UM_001,16,5.171875,2.671875,0.4833836858006042
CM_B_UM_055,unrelated,TH_B_UM_002,16,5.171875,2.234375,0.5679758308157099
CM_B_UM_055,unrelated,TH_B_UM_003,16,5.171875,3.171875,0.3867069486404834
CM_B_UM_055,unrelated,TH_B_UM_004,16,5.171875,5.703125,-0.10271903323262843
CM_B_UM_055,unrelated,TH_B_UM_005,16,5.171875,5.765625,-0.11480362537764344
CM_B_STD_013,unrelated,TH_B_UM_001,16,4.96875,5.8125,-0.16981132075471694
CM_B_STD_013,unrelated,TH_B_UM_002,16,4.96875,5.90625,-0.18867924528301883
CM_B_STD_013,unrelated,TH_B_UM_003,16,4.96875,6.15625,-0.23899371069182385
CM_B_STD_013,unrelated,TH_B_UM_004,16,4.96875,8.40625,-0.6918238993710693
CM_B_STD_013,unrelated,TH_B_UM_005,16,4.96875,8.5625,-0.7232704402515724
CM_B_UM_052,unrelated,TH_B_UM_001,16,4.921875,2.578125,0.47619047619047616
CM_B_UM_052,unrelated,TH_B_UM_002,16,4.921875,1.859375,0.6222222222222222
CM_B_UM_052,unrelated,TH_B_UM_003,16,4.921875,3.109375,0.3682539682539683
CM_B_UM_052,unrelated,TH_B_UM_004,16,4.921875,5.828125,-0.18412698412698414
CM_B_UM_052,unrelated,TH_B_UM_005,16,4.921875,5.671875,-0.15238095238095228
CM_B_STD_010,unrelated,TH_B_UM_001,16,4.84375,2.59375,0.46451612903225803
CM_B_STD_010,unrelated,TH_B_UM_002,16,4.84375,2.5625,0.47096774193548385
CM_B_STD_010,unrelated,TH_B_UM_003,16,4.84375,2.96875,0.3870967741935484
CM_B_STD_010,unrelated,TH_B_UM_004,16,4.84375,5.9375,-0.22580645161290325
CM_B_STD_010,unrelated,TH_B_UM_005,16,4.84375,5.90625,-0.2193548387096773
CM_B_STD_011,unrelated,TH_B_UM_001,16,4.8125,-1.4375,1.2987012987012987
CM_B_STD_011,unrelated,TH_B_UM_002,16,4.8125,-1.5625,1.3246753246753247
CM_B_STD_011,unrelated,TH_B_UM_003,16,4.8125,-0.84375,1.1753246753246753
CM_B_STD_011,unrelated,TH_B_UM_004,16,4.8125,2.28125,0.525974025974026
CM_B_STD_011,unrelated,TH_B_UM_005,16,4.8125,2.09375,0.564935064935065
CM_B_UM_033,unrelated,TH_B_UM_001,16,4.53125,1.640625,0.6379310344827587
CM_B_UM_033,unrelated,TH_B_UM_002,16,4.53125,0.671875,0.8517241379310345
CM_B_UM_033,unrelated,TH_B_UM_003,16,4.53125,1.875,0.5862068965517242
CM_B_UM_033,unrelated,TH_B_UM_004,16,4.53125,5.21875,-0.15172413793103456
CM_B_UM_033,unrelated,TH_B_UM_005,16,4.53125,5.09375,-0.12413793103448278
CM_B_UM_009,unrelated,TH_B_UM_001,16,4.375,4.78125,-0.09285714285714275
CM_B_UM_009,unrelated,TH_B_UM_002,16,4.375,5.0,-0.1428571428571428
CM_B_UM_009,unrelated,TH_B_UM_003,16,4.375,5.21875,-0.19285714285714284
CM_B_UM_009,unrelated,TH_B_UM_004,16,4.375,5.8125,-0.3285714285714285
CM_B_UM_009,unrelated,TH_B_UM_005,16,4.375,5.625,-0.2857142857142858
CM_B_UM_013,unrelated,TH_B_UM_001,16,3.453125,9.171875,-1.6561085972850678
CM_B_UM_013,unrelated,TH_B_UM_002,16,3.453125,9.140625,-1.6470588235294117
CM_B_UM_013,unrelated,TH_B_UM_003,16,3.453125,9.734375,-1.819004524886878
CM_B_UM_013,unrelated,TH_B_UM_004,16,3.453125,13.171875,-2.81447963800905
CM_B_UM_013,unrelated,TH_B_UM_005,16,3.453125,13.203125,-2.823529411764706
TH_B_UM_006,unrelated,TH_B_UM_001,16,3.40625,2.546875,0.2522935779816514
TH_B_UM_006,unrelated,TH_B_UM_002,16,3.40625,2.4375,0.2844036697247706
TH_B_UM_006,unrelated,TH_B_UM_003,16,3.40625,3.015625,0.11467889908256879
TH_B_UM_006,unrelated,TH_B_UM_004,16,3.40625,5.359375,-0.573394495412844
TH_B_UM_006,unrelated,TH_B_UM_005,16,3.40625,5.28125,-0.5504587155963303
CM_B_UM_006,unrelated,TH_B_UM_001,16,3.140625,-1.4375,1.4577114427860698
CM_B_UM_006,unrelated,TH_B_UM_002,16,3.140625,-1.1875,1.3781094527363185
CM_B_UM_006,unrelated,TH_B_UM_003,16,3.140625,-1.328125,1.4228855721393034
CM_B_UM_006,unrelated,TH_B_UM_004,16,3.140625,1.4375,0.5422885572139303
CM_B_UM_006,unrelated,TH_B_UM_005,16,3.140625,1.21875,0.6119402985074627
TH_B_UM_008,unrelated,TH_B_UM_001,16,2.890625,2.078125,0.2810810810810811
TH_B_UM_008,unrelated,TH_B_UM_002,16,2.890625,1.828125,0.3675675675675676
TH_B_UM_008,unrelated,TH_B_UM_003,16,2.890625,2.484375,0.14054054054054055
TH_B_UM_008,unrelated,TH_B_UM_004,16,2.890625,4.453125,-0.5405405405405406
TH_B_UM_008,unrelated,TH_B_UM_005,16,2.890625,4.296875,-0.4864864864864864
EL_B_002,unrelated,TH_B_UM_001,16,2.8203125,5.0234375,-0.7811634349030472
EL_B_002,unrelated,TH_B_UM_002,16,2.8203125,5.203125,-0.8448753462603877
EL_B_002,unrelated,TH_B_UM_003,16,2.8203125,6.2265625,-1.2077562326869806
EL_B_002,unrelated,TH_B_UM_004,16,2.8203125,9.8046875,-2.4764542936288088
EL_B_002,unrelated,TH_B_UM_005,16,2.8203125,9.7890625,-2.4709141274238227
CM_B_UM_012,unrelated,TH_B_UM_001,16,2.75,7.71875,-1.8068181818181817
CM_B_UM_012,unrelated,TH_B_UM_002,16,2.75,7.078125,-1.5738636363636362
CM_B_UM_012,unrelated,TH_B_UM_003,16,2.75,7.6875,-1.7954545454545454
CM_B_UM_012,unrelated,TH_B_UM_004,16,2.75,10.4375,-2.7954545454545454
CM_B_UM_012,unrelated,TH_B_UM_005,16,2.75,9.96875,-2.625
CM_B_004,unrelated,TH_B_UM_001,16,2.671875,1.609375,0.39766081871345027
CM_B_004,unrelated,TH_B_UM_002,16,2.671875,1.875,0.29824561403508776
CM_B_004,unrelated,TH_B_UM_003,16,2.671875,1.859375,0.30409356725146197
CM_B_004,unrelated,TH_B_UM_004,16,2.671875,4.40625,-0.6491228070175439
CM_B_004,unrelated,TH_B_UM_005,16,2.671875,4.5625,-0.7076023391812865
CM_B_STD_015,unrelated,TH_B_UM_001,16,2.625,-0.9375,1.3571428571428572
CM_B_STD_015,unrelated,TH_B_UM_002,16,2.625,-1.21875,1.4642857142857144
CM_B_STD_015,unrelated,TH_B_UM_003,16,2.625,-0.28125,1.1071428571428572
CM_B_STD_015,unrelated,TH_B_UM_004,16,2.625,2.875,-0.09523809523809534
CM_B_STD_015,unrelated,TH_B_UM_005,16,2.625,2.46875,0.059523809523809534
CM_B_UM_001,unrelated,TH_B_UM_001,16,2.46875,2.40625,0.025316455696202556
CM_B_UM_001,unrelated,TH_B_UM_002,16,2.46875,2.53125,-0.025316455696202445
CM_B_UM_001,unrelated,TH_B_UM_003,16,2.46875,2.40625,0.025316455696202556
