model_id,model_role,model_revision,canonical_family_id,template_id,domain,cue_type,benchmark_version,split_membership,family_manifest_hash,solver_certificate_hash,automated_solver_status,human_validation_status,adjudication_status,n_variants_expected,n_variants_observed,n_variants_parsed,family_parse_rate,base_variant_correct,all_variants_correct,family_correctness_rate,S_lp,S_lp_binary,answer_flip_rate,distributional_sensitivity,primary_monitor_score,monitor_layer,monitor_site,entropy_score,confidence_score,black_box_counterfactual_score,cot_classifier_score,answer_rationale_score,correctness_probe_score,causal_panel_eligible,causal_site,intervention_type,normalized_effect,raw_correct_logprob_effect,raw_S_lp_effect,sign_consistent,general_damage_metric,exclusion_flag,exclusion_reason,evidence_status,paper_eligibility,source_experiment_ids,primary_monitor_score_null_reason,monitor_layer_null_reason,monitor_site_null_reason,entropy_score_null_reason,confidence_score_null_reason,black_box_counterfactual_score_null_reason,cot_classifier_score_null_reason,answer_rationale_score_null_reason,correctness_probe_score_null_reason,causal_panel_eligible_null_reason,causal_site_null_reason,intervention_type_null_reason,normalized_effect_null_reason,general_damage_metric_null_reason
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_001,CM_A_001,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,1155c9bbadc4e68125dfca9ea2351cc206f166d45212de8e365437a10d626708,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_002,CM_A_002,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,bb66cbd2706f8416f78d44170440d73d2f82d7bbfe22d7a7186c1f6dacb1997d,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.15625,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_003,CM_A_003,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,fa82a2ff7be8fbacffe6a1e4f533bf8a89f8e6db9f8d0314780a9ef984b5c3eb,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_004,CM_A_004,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,0345213c4ccc79d7d57d28a264343e6749187f840d04a6f47eeb41b1c08e74be,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.40625,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_005,CM_A_005,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,160abf19695a9c700d232d31abad1dde8ee7273a3f33570c12052966b1f14904,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_006,CM_A_006,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,4e154bc1e9e86fba35f106f6cfb89576f881fda74f2dab8461db5632042285f0,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.046875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_007,CM_A_007,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,75eafd694c09ed807e02e0e0381f025aa140abf06c277f90f90004fe016b38a9,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_008,CM_A_008,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,f077d5d2c3a0ba4b440460eea84d3ce5052ee583f93346246315d6822d3baf64,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.21875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_009,CM_A_009,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,843ff7f261595041c80ce16b3dbc98a6313d90c9eb20a71fe18d1653c630551b,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.578125,1,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_010,CM_A_010,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,e5fc4c87a3158b8bf6ef9ab5db77a1055cbc868615d9cbb33817a53524e8b078,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.140625,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
