model_id,canonical_family_id,domain,cue_type,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,causal_site,intervention_effect,source_experiment_ids,S_lp_null_reason,monitor_null_reason,causal_null_reason
qwen_primary,CM_A_001,mechanics,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_002,mechanics,irrelevant_variable,1.90625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_003,mechanics,irrelevant_variable,0.34375,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_004,mechanics,irrelevant_variable,0.375,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_005,mechanics,irrelevant_variable,0.640625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_006,mechanics,irrelevant_variable,0.296875,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_007,mechanics,irrelevant_variable,0.5,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_008,mechanics,irrelevant_variable,0.921875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_009,mechanics,irrelevant_variable,0.0625,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_010,mechanics,irrelevant_variable,0.46875,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_001,mechanics,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_002,mechanics,irrelevant_variable,1.421875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_003,mechanics,irrelevant_variable,1.03125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_004,mechanics,irrelevant_variable,1.09375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_005,mechanics,irrelevant_variable,2.296875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_006,mechanics,irrelevant_variable,0.03125,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_007,mechanics,irrelevant_variable,0.25,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_008,mechanics,irrelevant_variable,0.078125,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_009,mechanics,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_010,mechanics,irrelevant_variable,0.78125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_011,electrostatics_circuits,irrelevant_variable,0.140625,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_012,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_013,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_014,electrostatics_circuits,irrelevant_variable,0.109375,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_015,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_016,electrostatics_circuits,irrelevant_variable,0.78125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_017,thermodynamics,irrelevant_variable,0.796875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_018,thermodynamics,irrelevant_variable,0.46875,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_019,thermodynamics,irrelevant_variable,3.15625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_A_STD_020,thermodynamics,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_001,mechanics,nongoverning_distractor,2.0,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_002,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
