model_id,canonical_family_id,derived_id,variant_id,generation_id,prompt_hash,prompt_text_or_path,parsed_answer,canonical_answer,correct,correct_answer_logprob,entropy,monitor_score,source_experiment_ids
llama3p1_8b_instruct,CM_A_001,,0,llama3p1_8b_instruct:CM_A_001:0:llama_primary_20260616T085448Z,4a6b80c13575db33d49acde56b1d007e6d406b2aa8a07a2b939792d74f8effa9,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,11 m/s,11.0 m/s,,-24.75,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_001,,1,llama3p1_8b_instruct:CM_A_001:1:llama_primary_20260616T085448Z,9fa42818bb88f9095b5b300020ba40232f6c50c8ecc7057803db1ea1c4fcf29a,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,11 m/s,11.0 m/s,,-24.46875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_001,,2,llama3p1_8b_instruct:CM_A_001:2:llama_primary_20260616T085448Z,45471d3e541c5b8975b931a4b75c91a11a0e2b49646f978d9db5f1b971c774bd,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,11 m/s,11.0 m/s,,-24.671875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_001,,3,llama3p1_8b_instruct:CM_A_001:3:llama_primary_20260616T085448Z,5d24c27894c26858cf92df00662c8abe76852a73f89366f672d5bc03f18c7e4c,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,11 m/s,11.0 m/s,,-24.59375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_002,,0,llama3p1_8b_instruct:CM_A_002:0:llama_primary_20260616T085448Z,bfd61c43140ee7499bae8455824462f7e6bea07175fe2030ae8406910d54c88c,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,20 m,14.0 m,,-26.03125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_002,,1,llama3p1_8b_instruct:CM_A_002:1:llama_primary_20260616T085448Z,4f86160ca7dbf38a651e838825770290c5a368380148c31d34201bddd893f70b,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,20 m,14.0 m,,-25.828125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_002,,2,llama3p1_8b_instruct:CM_A_002:2:llama_primary_20260616T085448Z,b06d72e77618ee4a6d000f8c2014dd850c32700101d6df1bf96df48e16235503,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,20 m,14.0 m,,-26.078125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_002,,3,llama3p1_8b_instruct:CM_A_002:3:llama_primary_20260616T085448Z,31cb1edb9efeb576d08e3ac110c71b30a8021192f7d7bb59a57837a11052657e,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,20 m,14.0 m,,-26.1875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_003,,0,llama3p1_8b_instruct:CM_A_003:0:llama_primary_20260616T085448Z,b9969321ca802d37b184af493c8fcf7594a5186745065efa274560516381a199,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 J,24.0 J,,-30.75,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_003,,1,llama3p1_8b_instruct:CM_A_003:1:llama_primary_20260616T085448Z,67d4a0678961aa5a511326114a7b838b698b1ac9e5941c9ee746a5c87ade921a,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 J,24.0 J,,-30.65625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_003,,2,llama3p1_8b_instruct:CM_A_003:2:llama_primary_20260616T085448Z,5e0d427eaee801011f2b7fb291f06b53ecf26257bf7f76efa02fcfb774d0f97d,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 J,24.0 J,,-30.5,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_003,,3,llama3p1_8b_instruct:CM_A_003:3:llama_primary_20260616T085448Z,f95fd5fb68a1c516ac046d51050b6a962fef17c7509e6a99f20b66aa9168d06b,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 J,24.0 J,,-30.296875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_004,,0,llama3p1_8b_instruct:CM_A_004:0:llama_primary_20260616T085448Z,c023adbd580a7cdfb365aedc88ffcfd8d700365b31a109647336dfbb2f3e2587,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,5.0 m/s2,5.0 m/s^2,,-22.859375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_004,,1,llama3p1_8b_instruct:CM_A_004:1:llama_primary_20260616T085448Z,187265e01cab7776708678c617897b147f1a1853b238cc34245d4b2357d0f7b3,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,5.0 m/s2,5.0 m/s^2,,-23.140625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_004,,2,llama3p1_8b_instruct:CM_A_004:2:llama_primary_20260616T085448Z,417c4d1d60027edfa00a31d1840bb4f5026cc504f6cdd162120ec27189813ea7,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,5.0 m/s2,5.0 m/s^2,,-23.265625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_004,,3,llama3p1_8b_instruct:CM_A_004:3:llama_primary_20260616T085448Z,16af91cf54584c3812eae59da56a94d59037859dc3a32b4b6d57d5bafbf83842,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,5.0 m/s2,5.0 m/s^2,,-22.890625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_005,,0,llama3p1_8b_instruct:CM_A_005:0:llama_primary_20260616T085448Z,aa57171f91d4283f62b0dcd73df040711849235f6dae756ff8f3f795387ab78e,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,98 J,98.0 J,,-28.5,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_005,,1,llama3p1_8b_instruct:CM_A_005:1:llama_primary_20260616T085448Z,73f557752790b53511efc620dfbe43b1e48afb503b8b7e49f76b152f75ad280c,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,49 J,98.0 J,,-26.25,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_005,,2,llama3p1_8b_instruct:CM_A_005:2:llama_primary_20260616T085448Z,19bf49005a4be9b14e8c42450b67e9af155f540fd5cf615e3e6fd7b7b3cff1e1,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,98 J,98.0 J,,-26.328125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_005,,3,llama3p1_8b_instruct:CM_A_005:3:llama_primary_20260616T085448Z,d767b2327d603cf9fc60116d683ccca0a4d967b01e60a4db41770d0073130500,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,98 J,98.0 J,,-26.265625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_006,,0,llama3p1_8b_instruct:CM_A_006:0:llama_primary_20260616T085448Z,3f85e34a0c7b66826b00ad0aa7ddd779c6a67efd61bd5e2641bd1e238e7f3b8e,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10.0 N,10.0 N,,-22.125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_006,,1,llama3p1_8b_instruct:CM_A_006:1:llama_primary_20260616T085448Z,da0a2c11645c751cc069eb864d2f822e9a13ee7c3b9f53b1af4985dbce56b925,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10.0 N,10.0 N,,-22.171875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_006,,2,llama3p1_8b_instruct:CM_A_006:2:llama_primary_20260616T085448Z,f0906ba178b44ffb66e6e4a08d9335418bf7b9d9f6a4bc88be56bec2939a58f7,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10.0 N,10.0 N,,-21.984375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_006,,3,llama3p1_8b_instruct:CM_A_006:3:llama_primary_20260616T085448Z,ba2514a80897251beb73299ad6ac383dfcbc2d36a51673745089d820cb7f0fd2,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10.0 N,10.0 N,,-22.03125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_007,,0,llama3p1_8b_instruct:CM_A_007:0:llama_primary_20260616T085448Z,17b9fd0ca386509dc72909401cba03c5793d50b29a0c7238c3fc6bd96fa5b38f,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.5 N,3.0 N,,-21.09375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_007,,1,llama3p1_8b_instruct:CM_A_007:1:llama_primary_20260616T085448Z,44c6954ee09d1941906639cb1e2b7382b36263ef9c9f9280195ed689293948a1,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.5 N,3.0 N,,-20.59375,,,"[""stage6_llama_behavioural_full_rerun""]"
