target_family_id,donor_family_id,patch_layer,original_S_lp,patched_S_lp,slp_increase,increased_ge_0p3
CM_B_002,CM_B_UM_059,16,-0.546875,2.328125,2.875,1
CM_B_002,CM_B_UM_032,16,-0.546875,2.265625,2.8125,1
CM_B_002,CM_B_STD_006,16,-0.546875,0.453125,1.0,1
CM_B_002,CM_B_UM_055,16,-0.546875,0.859375,1.40625,1
CM_B_002,CM_B_STD_013,16,-0.546875,-0.140625,0.40625,1
CM_B_007,CM_B_UM_059,16,-0.5,2.203125,2.703125,1
CM_B_007,CM_B_UM_032,16,-0.5,2.96875,3.46875,1
CM_B_007,CM_B_STD_006,16,-0.5,-0.0625,0.4375,1
CM_B_007,CM_B_UM_055,16,-0.5,0.390625,0.890625,1
CM_B_007,CM_B_STD_013,16,-0.5,0.84375,1.34375,1
CM_B_008,CM_B_UM_059,16,-0.125,2.578125,2.703125,1
CM_B_008,CM_B_UM_032,16,-0.125,2.765625,2.890625,1
CM_B_008,CM_B_STD_006,16,-0.125,2.515625,2.640625,1
CM_B_008,CM_B_UM_055,16,-0.125,1.78125,1.90625,1
CM_B_008,CM_B_STD_013,16,-0.125,2.359375,2.484375,1
CM_B_010,CM_B_UM_059,16,-0.515625,1.625,2.140625,1
CM_B_010,CM_B_UM_032,16,-0.515625,1.4375,1.953125,1
CM_B_010,CM_B_STD_006,16,-0.515625,1.609375,2.125,1
CM_B_010,CM_B_UM_055,16,-0.515625,0.671875,1.1875,1
CM_B_010,CM_B_STD_013,16,-0.515625,1.21875,1.734375,1
CM_B_STD_001,CM_B_UM_059,16,0.0,2.03125,2.03125,1
CM_B_STD_001,CM_B_UM_032,16,0.0,1.84375,1.84375,1
CM_B_STD_001,CM_B_STD_006,16,0.0,0.8125,0.8125,1
CM_B_STD_001,CM_B_UM_055,16,0.0,-0.75,-0.75,0
CM_B_STD_001,CM_B_STD_013,16,0.0,0.375,0.375,1
CM_B_STD_008,CM_B_UM_059,16,-0.28125,2.59375,2.875,1
CM_B_STD_008,CM_B_UM_032,16,-0.28125,2.5,2.78125,1
CM_B_STD_008,CM_B_STD_006,16,-0.28125,1.875,2.15625,1
CM_B_STD_008,CM_B_UM_055,16,-0.28125,1.34375,1.625,1
CM_B_STD_008,CM_B_STD_013,16,-0.28125,1.6875,1.96875,1
CM_B_UM_004,CM_B_UM_059,16,-0.40625,0.03125,0.4375,1
CM_B_UM_004,CM_B_UM_032,16,-0.40625,-0.0625,0.34375,1
CM_B_UM_004,CM_B_STD_006,16,-0.40625,-0.9375,-0.53125,0
CM_B_UM_004,CM_B_UM_055,16,-0.40625,-1.328125,-0.921875,0
CM_B_UM_004,CM_B_STD_013,16,-0.40625,-0.59375,-0.1875,0
CM_B_UM_005,CM_B_UM_059,16,-0.3125,2.640625,2.953125,1
CM_B_UM_005,CM_B_UM_032,16,-0.3125,3.421875,3.734375,1
CM_B_UM_005,CM_B_STD_006,16,-0.3125,1.734375,2.046875,1
CM_B_UM_005,CM_B_UM_055,16,-0.3125,2.53125,2.84375,1
