family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",7.03125,7.28125,-0.03555555555555556
CM_B_UM_032,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",0.03125,0.28125,-8.0
CM_B_STD_006,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",1.0,1.125,-0.125
CM_B_UM_055,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",3.09375,3.265625,-0.05555555555555558
CM_B_STD_013,0,3,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",0.34375,0.40625,-0.18181818181818188
CM_B_UM_052,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",1.984375,2.171875,-0.09448818897637801
CM_B_STD_010,0,3,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.03125,0.125,5.0
CM_B_STD_011,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",0.3125,0.421875,-0.3500000000000001
CM_B_UM_033,0,2,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",0.796875,0.96875,-0.21568627450980382
CM_B_UM_009,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.09375,-0.03125,0.6666666666666667
CM_B_UM_013,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",0.625,0.671875,-0.07499999999999996
TH_B_UM_006,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.0625,0.0625,2.0
CM_B_UM_006,0,3,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.484375,-0.328125,0.32258064516129037
TH_B_UM_008,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-1.296875,-1.171875,0.09638554216867468
EL_B_002,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.1875,0.015625,1.0833333333333333
CM_B_UM_012,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",0.09375,0.15625,-0.6666666666666667
CM_B_004,0,3,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.078125,0.078125,2.0
CM_B_STD_015,0,3,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",1.203125,1.34375,-0.11688311688311681
CM_B_UM_001,0,1,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",-0.15625,-0.046875,0.7
CM_B_STD_014,0,3,44,resid_post_last_prompt,head_knockout,,"20,26,9,31",1.234375,1.515625,-0.2278481012658229
