family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,6,6,10.03125,12.375,-0.23364485981308403
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,6,6,5.5625,9.21875,-0.6573033707865168
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,6,6,5.4375,8.53125,-0.5689655172413792
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,6,6,5.171875,8.828125,-0.7069486404833838
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,6,6,4.96875,7.0625,-0.42138364779874204
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,6,6,4.921875,8.765625,-0.7809523809523808
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,6,6,4.84375,7.0625,-0.4580645161290322
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,6,6,4.8125,5.8125,-0.20779220779220786
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,6,6,4.53125,8.234375,-0.8172413793103448
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,6,6,4.375,6.25,-0.4285714285714286
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,6,6,3.453125,9.765625,-1.828054298642534
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,6,6,3.40625,5.75,-0.6880733944954129
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,6,6,3.140625,4.546875,-0.4477611940298507
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,6,6,2.890625,4.078125,-0.41081081081081083
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,6,6,2.8203125,8.5234375,-2.0221606648199444
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,6,6,2.75,5.453125,-0.9829545454545454
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,6,6,2.671875,4.375,-0.6374269005847952
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,6,6,2.625,4.5625,-0.7380952380952381
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,6,6,2.46875,3.0,-0.21518987341772156
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,6,6,2.40625,3.125,-0.2987012987012987
