family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,23,23,2.0,1.90625,0.046875
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,23,23,2.0,2.0625,-0.03125
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,23,23,2.0,1.75,0.125
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,23,23,2.0,1.75,0.125
CM_B_UM_059,0,1,22,resid_post_last_prompt,head_knockout,23,23,2.0,1.9375,0.03125
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,23,23,1.875,1.9375,-0.03333333333333344
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,23,23,1.875,1.921875,-0.02499999999999991
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,23,23,1.875,1.78125,0.050000000000000044
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,23,23,1.875,1.65625,0.1166666666666667
CM_B_UM_032,0,1,22,resid_post_last_prompt,head_knockout,23,23,1.875,1.90625,-0.016666666666666607
CM_B_STD_006,0,3,18,resid_post_last_prompt,head_knockout,23,23,-0.28125,-0.296875,-0.05555555555555558
CM_B_STD_006,0,3,19,resid_post_last_prompt,head_knockout,23,23,-0.28125,-0.265625,0.05555555555555558
CM_B_STD_006,0,3,20,resid_post_last_prompt,head_knockout,23,23,-0.28125,-0.46875,-0.6666666666666667
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,23,23,-0.28125,-0.515625,-0.8333333333333333
CM_B_STD_006,0,3,22,resid_post_last_prompt,head_knockout,23,23,-0.28125,-0.3125,-0.11111111111111116
CM_B_UM_055,0,3,18,resid_post_last_prompt,head_knockout,23,23,0.546875,0.609375,-0.11428571428571432
CM_B_UM_055,0,3,19,resid_post_last_prompt,head_knockout,23,23,0.546875,0.515625,0.05714285714285716
CM_B_UM_055,0,3,20,resid_post_last_prompt,head_knockout,23,23,0.546875,0.421875,0.22857142857142854
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,23,23,0.546875,0.375,0.3142857142857143
CM_B_UM_055,0,3,22,resid_post_last_prompt,head_knockout,23,23,0.546875,0.53125,0.02857142857142858
CM_B_STD_013,0,2,18,resid_post_last_prompt,head_knockout,23,23,0.25,0.078125,0.6875
CM_B_STD_013,0,2,19,resid_post_last_prompt,head_knockout,23,23,0.25,0.28125,-0.125
CM_B_STD_013,0,2,20,resid_post_last_prompt,head_knockout,23,23,0.25,0.171875,0.3125
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,23,23,0.25,0.046875,0.8125
CM_B_STD_013,0,2,22,resid_post_last_prompt,head_knockout,23,23,0.25,0.28125,-0.125
CM_B_UM_052,0,3,18,resid_post_last_prompt,head_knockout,23,23,2.171875,2.21875,-0.021582733812949728
CM_B_UM_052,0,3,19,resid_post_last_prompt,head_knockout,23,23,2.171875,2.15625,0.007194244604316502
CM_B_UM_052,0,3,20,resid_post_last_prompt,head_knockout,23,23,2.171875,2.09375,0.03597122302158273
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,23,23,2.171875,2.0,0.07913669064748197
CM_B_UM_052,0,3,22,resid_post_last_prompt,head_knockout,23,23,2.171875,2.203125,-0.014388489208633004
CM_B_STD_010,0,2,18,resid_post_last_prompt,head_knockout,23,23,0.296875,-0.0625,1.2105263157894737
CM_B_STD_010,0,2,19,resid_post_last_prompt,head_knockout,23,23,0.296875,0.109375,0.631578947368421
CM_B_STD_010,0,2,20,resid_post_last_prompt,head_knockout,23,23,0.296875,0.140625,0.5263157894736843
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,23,23,0.296875,0.109375,0.631578947368421
CM_B_STD_010,0,2,22,resid_post_last_prompt,head_knockout,23,23,0.296875,0.203125,0.3157894736842105
CM_B_STD_011,0,1,18,resid_post_last_prompt,head_knockout,23,23,0.359375,0.0,1.0
CM_B_STD_011,0,1,19,resid_post_last_prompt,head_knockout,23,23,0.359375,0.390625,-0.08695652173913038
CM_B_STD_011,0,1,20,resid_post_last_prompt,head_knockout,23,23,0.359375,0.21875,0.3913043478260869
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,23,23,0.359375,0.21875,0.3913043478260869
CM_B_STD_011,0,1,22,resid_post_last_prompt,head_knockout,23,23,0.359375,0.328125,0.08695652173913049
CM_B_UM_033,0,2,18,resid_post_last_prompt,head_knockout,23,23,0.078125,0.109375,-0.3999999999999999
CM_B_UM_033,0,2,19,resid_post_last_prompt,head_knockout,23,23,0.078125,0.0625,0.19999999999999996
CM_B_UM_033,0,2,20,resid_post_last_prompt,head_knockout,23,23,0.078125,-0.078125,2.0
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,23,23,0.078125,-0.078125,2.0
CM_B_UM_033,0,2,22,resid_post_last_prompt,head_knockout,23,23,0.078125,0.0625,0.19999999999999996
CM_B_UM_009,0,2,18,resid_post_last_prompt,head_knockout,23,23,0.53125,0.515625,0.02941176470588236
CM_B_UM_009,0,2,19,resid_post_last_prompt,head_knockout,23,23,0.53125,0.421875,0.20588235294117652
CM_B_UM_009,0,2,20,resid_post_last_prompt,head_knockout,23,23,0.53125,0.5,0.05882352941176472
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,23,23,0.53125,0.296875,0.4411764705882353
CM_B_UM_009,0,2,22,resid_post_last_prompt,head_knockout,23,23,0.53125,0.5,0.05882352941176472
CM_B_UM_013,0,1,18,resid_post_last_prompt,head_knockout,23,23,2.515625,2.46875,0.018633540372670843
CM_B_UM_013,0,1,19,resid_post_last_prompt,head_knockout,23,23,2.515625,2.53125,-0.006211180124223503
CM_B_UM_013,0,1,20,resid_post_last_prompt,head_knockout,23,23,2.515625,2.421875,0.037267080745341574
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,23,23,2.515625,2.328125,0.07453416149068326
CM_B_UM_013,0,1,22,resid_post_last_prompt,head_knockout,23,23,2.515625,2.515625,0.0
TH_B_UM_006,0,1,18,resid_post_last_prompt,head_knockout,23,23,-0.046875,-0.078125,-0.6666666666666667
TH_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,23,23,-0.046875,-0.203125,-3.333333333333333
TH_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,23,23,-0.046875,-0.21875,-3.666666666666667
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,23,23,-0.046875,-0.1875,-3.0
TH_B_UM_006,0,1,22,resid_post_last_prompt,head_knockout,23,23,-0.046875,-0.078125,-0.6666666666666667
CM_B_UM_006,0,1,18,resid_post_last_prompt,head_knockout,23,23,-0.4140625,-0.453125,-0.09433962264150941
CM_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,23,23,-0.4140625,-0.34375,0.16981132075471694
CM_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,23,23,-0.4140625,-0.640625,-0.5471698113207548
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,23,23,-0.4140625,-0.6484375,-0.5660377358490567
CM_B_UM_006,0,1,22,resid_post_last_prompt,head_knockout,23,23,-0.4140625,-0.40625,0.018867924528301883
TH_B_UM_008,0,1,18,resid_post_last_prompt,head_knockout,23,23,0.984375,0.828125,0.15873015873015872
TH_B_UM_008,0,1,19,resid_post_last_prompt,head_knockout,23,23,0.984375,0.78125,0.2063492063492064
TH_B_UM_008,0,1,20,resid_post_last_prompt,head_knockout,23,23,0.984375,0.8125,0.17460317460317465
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,23,23,0.984375,0.84375,0.1428571428571429
TH_B_UM_008,0,1,22,resid_post_last_prompt,head_knockout,23,23,0.984375,0.96875,0.015873015873015928
EL_B_002,0,1,18,resid_post_last_prompt,head_knockout,23,23,0.0625,-0.234375,4.75
EL_B_002,0,1,19,resid_post_last_prompt,head_knockout,23,23,0.0625,0.09375,-0.5
EL_B_002,0,1,20,resid_post_last_prompt,head_knockout,23,23,0.0625,-0.234375,4.75
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,23,23,0.0625,-0.09375,2.5
EL_B_002,0,1,22,resid_post_last_prompt,head_knockout,23,23,0.0625,0.0625,0.0
CM_B_UM_012,0,1,18,resid_post_last_prompt,head_knockout,23,23,-0.328125,-0.34375,-0.04761904761904767
CM_B_UM_012,0,1,19,resid_post_last_prompt,head_knockout,23,23,-0.328125,-0.3125,0.04761904761904767
CM_B_UM_012,0,1,20,resid_post_last_prompt,head_knockout,23,23,-0.328125,-0.421875,-0.2857142857142858
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,23,23,-0.328125,-0.5625,-0.7142857142857142
CM_B_UM_012,0,1,22,resid_post_last_prompt,head_knockout,23,23,-0.328125,-0.328125,0.0
CM_B_004,0,1,18,resid_post_last_prompt,head_knockout,23,23,-0.21875,-0.484375,-1.2142857142857144
CM_B_004,0,1,19,resid_post_last_prompt,head_knockout,23,23,-0.21875,-0.34375,-0.5714285714285714
CM_B_004,0,1,20,resid_post_last_prompt,head_knockout,23,23,-0.21875,-0.40625,-0.8571428571428572
CM_B_004,0,1,21,resid_post_last_prompt,head_knockout,23,23,-0.21875,-0.5,-1.2857142857142856
CM_B_004,0,1,22,resid_post_last_prompt,head_knockout,23,23,-0.21875,-0.203125,0.0714285714285714
CM_B_STD_015,0,1,18,resid_post_last_prompt,head_knockout,23,23,0.53125,0.421875,0.20588235294117652
CM_B_STD_015,0,1,19,resid_post_last_prompt,head_knockout,23,23,0.53125,0.640625,-0.2058823529411764
CM_B_STD_015,0,1,20,resid_post_last_prompt,head_knockout,23,23,0.53125,0.484375,0.08823529411764708
CM_B_STD_015,0,1,21,resid_post_last_prompt,head_knockout,23,23,0.53125,0.296875,0.4411764705882353
CM_B_STD_015,0,1,22,resid_post_last_prompt,head_knockout,23,23,0.53125,0.578125,-0.08823529411764697
CM_B_UM_001,0,2,18,resid_post_last_prompt,head_knockout,23,23,1.421875,1.375,0.03296703296703296
CM_B_UM_001,0,2,19,resid_post_last_prompt,head_knockout,23,23,1.421875,1.3125,0.07692307692307687
CM_B_UM_001,0,2,20,resid_post_last_prompt,head_knockout,23,23,1.421875,1.203125,0.15384615384615385
CM_B_UM_001,0,2,21,resid_post_last_prompt,head_knockout,23,23,1.421875,1.203125,0.15384615384615385
CM_B_UM_001,0,2,22,resid_post_last_prompt,head_knockout,23,23,1.421875,1.390625,0.02197802197802201
CM_B_STD_014,0,3,18,resid_post_last_prompt,head_knockout,23,23,0.140625,-0.09375,1.6666666666666665
CM_B_STD_014,0,3,19,resid_post_last_prompt,head_knockout,23,23,0.140625,0.125,0.11111111111111116
CM_B_STD_014,0,3,20,resid_post_last_prompt,head_knockout,23,23,0.140625,0.03125,0.7777777777777778
CM_B_STD_014,0,3,21,resid_post_last_prompt,head_knockout,23,23,0.140625,-0.1875,2.333333333333333
CM_B_STD_014,0,3,22,resid_post_last_prompt,head_knockout,23,23,0.140625,0.078125,0.4444444444444444
