family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,12,12,2.0,1.5625,0.21875
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,12,12,1.875,1.953125,-0.04166666666666674
CM_B_STD_006,0,3,19,resid_post_last_prompt,head_knockout,12,12,-0.28125,-0.25,0.11111111111111116
CM_B_UM_055,0,3,19,resid_post_last_prompt,head_knockout,12,12,0.546875,0.546875,0.0
CM_B_STD_013,0,2,19,resid_post_last_prompt,head_knockout,12,12,0.25,0.046875,0.8125
CM_B_UM_052,0,3,19,resid_post_last_prompt,head_knockout,12,12,2.171875,2.15625,0.007194244604316502
CM_B_STD_010,0,2,19,resid_post_last_prompt,head_knockout,12,12,0.296875,0.140625,0.5263157894736843
CM_B_STD_011,0,1,19,resid_post_last_prompt,head_knockout,12,12,0.359375,0.265625,0.26086956521739135
CM_B_UM_033,0,2,19,resid_post_last_prompt,head_knockout,12,12,0.078125,0.03125,0.6
CM_B_UM_009,0,2,19,resid_post_last_prompt,head_knockout,12,12,0.53125,0.34375,0.3529411764705882
CM_B_UM_013,0,1,19,resid_post_last_prompt,head_knockout,12,12,2.515625,2.34375,0.06832298136645965
TH_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,12,12,-0.046875,-0.140625,-2.0
CM_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,12,12,-0.4140625,-0.515625,-0.24528301886792447
TH_B_UM_008,0,1,19,resid_post_last_prompt,head_knockout,12,12,0.984375,0.90625,0.07936507936507942
EL_B_002,0,1,19,resid_post_last_prompt,head_knockout,12,12,0.0625,-0.140625,3.25
CM_B_UM_012,0,1,19,resid_post_last_prompt,head_knockout,12,12,-0.328125,-0.296875,0.09523809523809523
CM_B_004,0,1,19,resid_post_last_prompt,head_knockout,12,12,-0.21875,-0.203125,0.0714285714285714
CM_B_STD_015,0,1,19,resid_post_last_prompt,head_knockout,12,12,0.53125,0.40625,0.23529411764705888
CM_B_UM_001,0,2,19,resid_post_last_prompt,head_knockout,12,12,1.421875,1.09375,0.23076923076923073
CM_B_STD_014,0,3,19,resid_post_last_prompt,head_knockout,12,12,0.140625,0.0,1.0
