family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,17,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,2.4375,-0.21875
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,1.90625,0.046875
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,1.40625,0.296875
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,1.6875,0.15625
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,-0.8125,1.40625
CM_B_UM_059,0,1,22,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,2.09375,-0.046875
CM_B_UM_059,0,1,23,resid_post_last_prompt,head_knockout,,"23,2,20,18",2.0,2.0,0.0
CM_B_UM_032,0,1,17,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,2.15625,-0.1499999999999999
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,1.921875,-0.02499999999999991
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,1.296875,0.30833333333333335
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,1.765625,0.05833333333333335
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,0.0625,0.9666666666666667
CM_B_UM_032,0,1,22,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,1.8125,0.033333333333333326
CM_B_UM_032,0,1,23,resid_post_last_prompt,head_knockout,,"23,2,20,18",1.875,1.96875,-0.050000000000000044
CM_B_STD_006,0,3,17,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,0.15625,1.5555555555555556
CM_B_STD_006,0,3,18,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,-0.71875,-1.5555555555555554
CM_B_STD_006,0,3,19,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,-0.703125,-1.5
CM_B_STD_006,0,3,20,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,-0.453125,-0.6111111111111112
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,-2.296875,-7.166666666666666
CM_B_STD_006,0,3,22,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,-0.109375,0.6111111111111112
CM_B_STD_006,0,3,23,resid_post_last_prompt,head_knockout,,"23,2,20,18",-0.28125,-0.25,0.11111111111111116
CM_B_UM_055,0,3,17,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,1.4375,-1.6285714285714286
CM_B_UM_055,0,3,18,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,0.6875,-0.2571428571428571
CM_B_UM_055,0,3,19,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,-0.203125,1.3714285714285714
CM_B_UM_055,0,3,20,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,0.4375,0.19999999999999996
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,-0.46875,1.8571428571428572
CM_B_UM_055,0,3,22,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,0.484375,0.11428571428571432
CM_B_UM_055,0,3,23,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.546875,0.515625,0.05714285714285716
CM_B_STD_013,0,2,17,resid_post_last_prompt,head_knockout,,"23,2,20,18",0.25,0.25,0.0
