family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.0,2.1875,-0.09375
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.0,1.75,0.125
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.0,2.125,-0.0625
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.0,1.5625,0.21875
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.0,1.90625,0.046875
CM_B_UM_032,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.875,2.0625,-0.10000000000000009
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.875,1.671875,0.10833333333333328
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.875,2.140625,-0.1416666666666666
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.875,1.8125,0.033333333333333326
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.875,1.921875,-0.02499999999999991
CM_B_STD_006,0,3,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.28125,-0.640625,-1.2777777777777777
CM_B_STD_006,0,3,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.28125,-0.71875,-1.5555555555555554
CM_B_STD_006,0,3,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.28125,0.015625,1.0555555555555556
CM_B_STD_006,0,3,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.28125,-0.453125,-0.6111111111111112
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.28125,-0.3125,-0.11111111111111116
CM_B_UM_055,0,3,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.546875,0.53125,0.02857142857142858
CM_B_UM_055,0,3,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.546875,0.640625,-0.17142857142857149
CM_B_UM_055,0,3,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.546875,0.921875,-0.6857142857142857
CM_B_UM_055,0,3,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.546875,0.265625,0.5142857142857142
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.546875,0.5,0.08571428571428574
CM_B_STD_013,0,2,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.25,-0.109375,1.4375
CM_B_STD_013,0,2,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.25,0.1875,0.25
CM_B_STD_013,0,2,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.25,0.09375,0.625
CM_B_STD_013,0,2,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.25,-0.015625,1.0625
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.25,0.234375,0.0625
CM_B_UM_052,0,3,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.171875,2.265625,-0.043165467625899234
CM_B_UM_052,0,3,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.171875,2.296875,-0.05755395683453246
CM_B_UM_052,0,3,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.171875,2.53125,-0.16546762589928066
CM_B_UM_052,0,3,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.171875,1.890625,0.1294964028776978
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.171875,2.15625,0.007194244604316502
CM_B_STD_010,0,2,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.296875,0.109375,0.631578947368421
CM_B_STD_010,0,2,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.296875,0.140625,0.5263157894736843
CM_B_STD_010,0,2,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.296875,0.390625,-0.3157894736842106
CM_B_STD_010,0,2,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.296875,0.421875,-0.42105263157894735
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.296875,-0.03125,1.1052631578947367
CM_B_STD_011,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.359375,0.3125,0.13043478260869568
CM_B_STD_011,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.359375,0.34375,0.04347826086956519
CM_B_STD_011,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.359375,0.59375,-0.6521739130434783
CM_B_STD_011,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.359375,0.53125,-0.4782608695652173
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.359375,0.171875,0.5217391304347826
CM_B_UM_033,0,2,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.078125,0.0,1.0
CM_B_UM_033,0,2,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.078125,0.0625,0.19999999999999996
CM_B_UM_033,0,2,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.078125,0.390625,-4.0
CM_B_UM_033,0,2,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.078125,-0.1875,3.4
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.078125,0.015625,0.8
CM_B_UM_009,0,2,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.71875,-0.3529411764705883
CM_B_UM_009,0,2,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.453125,0.1470588235294118
CM_B_UM_009,0,2,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.578125,-0.08823529411764697
CM_B_UM_009,0,2,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.28125,0.47058823529411764
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.453125,0.1470588235294118
CM_B_UM_013,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.515625,2.609375,-0.037267080745341685
CM_B_UM_013,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.515625,2.53125,-0.006211180124223503
CM_B_UM_013,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.515625,2.703125,-0.07453416149068315
CM_B_UM_013,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.515625,2.34375,0.06832298136645965
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",2.515625,2.546875,-0.012422360248447228
TH_B_UM_006,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.046875,-0.4375,-8.333333333333334
TH_B_UM_006,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.046875,-0.28125,-5.0
TH_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.046875,0.609375,14.0
TH_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.046875,-0.234375,-4.0
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.046875,-0.0625,-0.33333333333333326
CM_B_UM_006,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.4140625,-0.703125,-0.6981132075471699
CM_B_UM_006,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.4140625,-0.3828125,0.07547169811320753
CM_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.4140625,-0.0390625,0.9056603773584906
CM_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.4140625,-0.59375,-0.4339622641509433
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.4140625,-0.5859375,-0.4150943396226414
TH_B_UM_008,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.984375,0.71875,0.2698412698412699
TH_B_UM_008,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.984375,0.78125,0.2063492063492064
TH_B_UM_008,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.984375,1.609375,-0.6349206349206349
TH_B_UM_008,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.984375,0.796875,0.19047619047619047
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.984375,0.921875,0.06349206349206349
EL_B_002,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.0625,-0.140625,3.25
EL_B_002,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.0625,-0.03125,1.5
EL_B_002,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.0625,0.5,-7.0
EL_B_002,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.0625,-0.046875,1.75
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.0625,-0.0625,2.0
CM_B_UM_012,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.328125,-0.015625,0.9523809523809523
CM_B_UM_012,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.328125,-0.46875,-0.4285714285714286
CM_B_UM_012,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.328125,-0.125,0.6190476190476191
CM_B_UM_012,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.328125,-0.515625,-0.5714285714285714
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.328125,-0.34375,-0.04761904761904767
CM_B_004,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.21875,-0.09375,0.5714285714285714
CM_B_004,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.21875,-0.5,-1.2857142857142856
CM_B_004,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.21875,-0.078125,0.6428571428571428
CM_B_004,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.21875,-0.3125,-0.4285714285714286
CM_B_004,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",-0.21875,-0.015625,0.9285714285714286
CM_B_STD_015,0,1,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.515625,0.02941176470588236
CM_B_STD_015,0,1,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.84375,-0.588235294117647
CM_B_STD_015,0,1,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.46875,0.11764705882352944
CM_B_STD_015,0,1,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.25,0.5294117647058824
CM_B_STD_015,0,1,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.53125,0.625,-0.17647058823529416
CM_B_UM_001,0,2,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.421875,1.140625,0.19780219780219777
CM_B_UM_001,0,2,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.421875,1.4375,-0.01098901098901095
CM_B_UM_001,0,2,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.421875,1.296875,0.08791208791208793
CM_B_UM_001,0,2,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.421875,1.25,0.1208791208791209
CM_B_UM_001,0,2,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",1.421875,1.25,0.1208791208791209
CM_B_STD_014,0,3,17,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.140625,0.125,0.11111111111111116
CM_B_STD_014,0,3,18,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.140625,0.375,-1.6666666666666665
CM_B_STD_014,0,3,19,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.140625,0.015625,0.8888888888888888
CM_B_STD_014,0,3,20,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.140625,-0.078125,1.5555555555555556
CM_B_STD_014,0,3,21,resid_post_last_prompt,head_knockout,,"0,12,14,26",0.140625,0.0625,0.5555555555555556
