family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,17,resid_post_last_prompt,head_knockout,,"12,0,23,5",2.0,2.5,-0.25
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,,"12,0,23,5",2.0,1.59375,0.203125
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,,"12,0,23,5",2.0,1.8125,0.09375
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,,"12,0,23,5",2.0,2.09375,-0.046875
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,"12,0,23,5",2.0,1.53125,0.234375
CM_B_UM_032,0,1,17,resid_post_last_prompt,head_knockout,,"12,0,23,5",1.875,2.046875,-0.09166666666666656
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,,"12,0,23,5",1.875,1.796875,0.04166666666666663
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,,"12,0,23,5",1.875,2.203125,-0.17500000000000004
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,,"12,0,23,5",1.875,1.9375,-0.03333333333333344
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,"12,0,23,5",1.875,1.34375,0.2833333333333333
CM_B_STD_006,0,3,17,resid_post_last_prompt,head_knockout,,"12,0,23,5",-0.28125,0.390625,2.388888888888889
CM_B_STD_006,0,3,18,resid_post_last_prompt,head_knockout,,"12,0,23,5",-0.28125,-0.390625,-0.38888888888888884
CM_B_STD_006,0,3,19,resid_post_last_prompt,head_knockout,,"12,0,23,5",-0.28125,-0.109375,0.6111111111111112
CM_B_STD_006,0,3,20,resid_post_last_prompt,head_knockout,,"12,0,23,5",-0.28125,-0.546875,-0.9444444444444444
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,"12,0,23,5",-0.28125,-0.765625,-1.7222222222222223
CM_B_UM_055,0,3,17,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.546875,0.640625,-0.17142857142857149
CM_B_UM_055,0,3,18,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.546875,0.46875,0.1428571428571429
CM_B_UM_055,0,3,19,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.546875,0.640625,-0.17142857142857149
CM_B_UM_055,0,3,20,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.546875,0.453125,0.17142857142857137
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.546875,0.203125,0.6285714285714286
CM_B_STD_013,0,2,17,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.25,0.875,-2.5
CM_B_STD_013,0,2,18,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.25,0.015625,0.9375
CM_B_STD_013,0,2,19,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.25,0.296875,-0.1875
CM_B_STD_013,0,2,20,resid_post_last_prompt,head_knockout,,"12,0,23,5",0.25,0.109375,0.5625
