family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_A_STD_019,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.15625,6.375,-1.0198019801980198
CM_A_STD_019,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.15625,2.0,0.36633663366336633
CM_A_STD_019,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.15625,-5.09375,2.613861386138614
CM_A_STD_019,0,3,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.15625,4.0625,-0.28712871287128716
CM_A_STD_019,0,3,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.15625,2.5,0.20792079207920788
CM_A_STD_005,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.296875,4.078125,-0.7755102040816326
CM_A_STD_005,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.296875,1.171875,0.4897959183673469
CM_A_STD_005,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.296875,-2.28125,1.9931972789115646
CM_A_STD_005,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.296875,1.859375,0.19047619047619047
CM_A_STD_005,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.296875,0.921875,0.5986394557823129
CM_A_STD_002,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.421875,6.796875,-3.78021978021978
CM_A_STD_002,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.421875,-3.015625,3.120879120879121
CM_A_STD_002,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.421875,-8.875,7.241758241758242
CM_A_STD_002,0,3,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.421875,4.515625,-2.1758241758241756
CM_A_STD_002,0,3,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.421875,0.9375,0.34065934065934067
CM_A_STD_004,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.09375,2.15625,-0.9714285714285715
CM_A_STD_004,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.09375,1.4375,-0.3142857142857143
CM_A_STD_004,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.09375,-1.546875,2.4142857142857146
CM_A_STD_004,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.09375,1.40625,-0.2857142857142858
CM_A_STD_004,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.09375,0.625,0.4285714285714286
CM_A_STD_003,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.03125,3.03125,-1.9393939393939394
CM_A_STD_003,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.03125,0.5625,0.4545454545454546
CM_A_STD_003,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.03125,-4.46875,5.333333333333333
CM_A_STD_003,0,3,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.03125,0.71875,0.303030303030303
CM_A_STD_003,0,3,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",1.03125,-0.15625,1.1515151515151516
CM_C_001,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.40625,3.71875,0.15602836879432624
CM_C_001,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.40625,2.40625,0.45390070921985815
CM_C_001,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.40625,-0.65625,1.148936170212766
CM_C_001,0,3,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.40625,2.9375,0.33333333333333337
CM_C_001,0,3,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.40625,2.84375,0.35460992907801414
CM_C_002,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.78125,6.15625,0.09216589861751157
CM_C_002,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.78125,6.59375,0.027649769585253448
CM_C_002,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.78125,5.09375,0.24884792626728114
CM_C_002,0,3,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.78125,6.53125,0.03686635944700456
CM_C_002,0,3,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.78125,5.375,0.2073732718894009
CM_C_003,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.546875,7.5625,-0.15513126491646778
CM_C_003,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.546875,6.265625,0.042959427207637235
CM_C_003,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.546875,4.375,0.3317422434367542
CM_C_003,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.546875,6.46875,0.011933174224343701
CM_C_003,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",6.546875,6.625,-0.01193317422434359
CM_C_004,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.546875,15.609375,-0.15224913494809678
CM_C_004,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.546875,13.859375,-0.023068050749711633
CM_C_004,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.546875,9.484375,0.29988465974625145
CM_C_004,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.546875,13.453125,0.00692041522491349
CM_C_004,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.546875,12.0625,0.10957324106113031
CM_C_005,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.828125,14.265625,-0.031638418079096065
CM_C_005,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.828125,13.796875,0.002259887005649719
CM_C_005,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.828125,11.859375,0.14237288135593218
CM_C_005,0,3,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.828125,13.234375,0.04293785310734466
CM_C_005,0,3,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",13.828125,13.171875,0.0474576271186441
