family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",10.03125,2.3125,0.7694704049844237
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",5.5625,-4.71875,1.848314606741573
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",5.4375,-3.53125,1.6494252873563218
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",5.171875,-6.109375,2.1812688821752264
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",4.96875,-1.1875,1.2389937106918238
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",4.921875,-5.703125,2.158730158730159
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",4.84375,-1.40625,1.2903225806451613
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",4.8125,0.25,0.948051948051948
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",4.53125,-7.890625,2.7413793103448274
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",4.375,-5.015625,2.1464285714285714
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",3.453125,-6.5,2.8823529411764706
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",3.40625,-6.84375,3.0091743119266057
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",3.140625,-1.0,1.3184079601990049
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",2.890625,-4.875,2.6864864864864866
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",2.8203125,-6.787109375,3.406509695290859
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",2.75,-6.796875,3.471590909090909
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,,"13,11",2.671875,-2.921875,2.0935672514619883
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,,"13,11",2.625,-3.0625,2.166666666666667
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,,"13,11",2.46875,0.65625,0.7341772151898734
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,,"13,11",2.40625,-1.25,1.5194805194805194
