family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",10.03125,2.25,0.7757009345794392
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",5.5625,-3.78125,1.6797752808988764
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",5.4375,-3.59375,1.660919540229885
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",5.171875,-5.65625,2.093655589123867
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",4.96875,-1.65625,1.3333333333333333
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",4.921875,-5.640625,2.146031746031746
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",4.84375,-1.90625,1.3935483870967742
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",4.8125,0.15625,0.9675324675324676
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",4.53125,-7.671875,2.693103448275862
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",4.375,-3.890625,1.8892857142857142
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",3.453125,-5.828125,2.6877828054298645
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",3.40625,-5.671875,2.665137614678899
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",3.140625,-1.21875,1.3880597014925373
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.890625,-4.34375,2.5027027027027025
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.8203125,-6.662109375,3.3621883656509697
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.75,-6.0,3.1818181818181817
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.671875,-3.359375,2.257309941520468
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.625,-2.84375,2.083333333333333
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.46875,0.46875,0.810126582278481
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,,"26,13,11",2.40625,-0.84375,1.3506493506493507
