family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,2.46875,0.7538940809968847
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,-3.6875,1.6629213483146068
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,-3.0625,1.5632183908045976
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,-5.484375,2.0604229607250755
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,-1.0625,1.2138364779874213
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,-5.28125,2.0730158730158728
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,-1.3125,1.270967741935484
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,0.5625,0.8831168831168831
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,-7.375,2.6275862068965514
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,-3.34375,1.7642857142857142
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,-5.703125,2.6515837104072397
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,-5.15625,2.5137614678899083
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,-1.1875,1.3781094527363185
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,-3.890625,2.345945945945946
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,-6.51953125,3.311634349030471
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,-5.875,3.1363636363636362
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,-3.03125,2.1345029239766085
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.625,-2.40625,1.9166666666666665
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.46875,0.5,0.7974683544303798
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.40625,-0.625,1.2597402597402598
