family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,2,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,10.34375,-0.031152647975077885
CM_B_UM_059,0,1,5,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,9.65625,0.03738317757009346
CM_B_UM_059,0,1,10,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,9.46875,0.05607476635514019
CM_B_UM_059,0,1,13,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,10.34375,-0.031152647975077885
CM_B_UM_059,0,1,23,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,10.03125,0.0
CM_B_UM_059,0,1,26,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,9.8125,0.02180685358255452
CM_B_UM_032,0,1,2,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,6.375,-0.146067415730337
CM_B_UM_032,0,1,5,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,5.21875,0.061797752808988804
CM_B_UM_032,0,1,10,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,4.3125,0.2247191011235955
CM_B_UM_032,0,1,13,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,5.0625,0.0898876404494382
CM_B_UM_032,0,1,23,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,5.40625,0.028089887640449396
CM_B_UM_032,0,1,26,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,6.1875,-0.1123595505617978
CM_B_STD_006,0,2,2,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,5.71875,-0.051724137931034475
CM_B_STD_006,0,2,5,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,5.125,0.05747126436781613
CM_B_STD_006,0,2,10,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,4.4375,0.1839080459770115
CM_B_STD_006,0,2,13,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,4.78125,0.12068965517241381
CM_B_STD_006,0,2,23,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,5.6875,-0.04597701149425282
CM_B_STD_006,0,2,26,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,6.46875,-0.18965517241379315
