family_id,donor_id,patch_layer,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,CM_B_007,16,10.03125,8.375,0.1651090342679128
CM_B_UM_059,CM_B_UM_023,16,10.03125,2.03125,0.7975077881619937
CM_B_UM_032,CM_B_UM_053,16,5.5625,2.0,0.6404494382022472
CM_B_STD_013,CM_B_002,16,4.96875,5.3125,-0.0691823899371069
CM_B_STD_013,CM_B_UM_029,16,4.96875,7.3125,-0.47169811320754707
CM_B_STD_013,CM_B_UM_031,16,4.96875,7.09375,-0.4276729559748427
CM_B_UM_033,CM_A_STD_015,16,4.53125,0.25,0.9448275862068966
CM_B_UM_009,CM_A_001,16,4.375,0.34375,0.9214285714285715
CM_B_UM_009,CM_A_STD_001,16,4.375,2.03125,0.5357142857142857
CM_B_UM_009,CM_A_STD_009,16,4.375,3.625,0.17142857142857137
CM_B_UM_013,CM_B_UM_017,16,3.453125,10.328125,-1.990950226244344
CM_B_UM_013,CM_B_UM_018,16,3.453125,7.109375,-1.0588235294117645
CM_B_UM_006,CM_A_STD_012,16,3.140625,-2.375,1.756218905472637
CM_B_UM_006,CM_B_UM_008,16,3.140625,1.4375,0.5422885572139303
CM_B_UM_006,CM_B_UM_036,16,3.140625,-3.40625,2.0845771144278604
EL_B_002,CM_B_UM_003,16,2.8203125,7.0703125,-1.5069252077562325
EL_B_002,CM_B_UM_036,16,2.8203125,-0.8359375,1.296398891966759
EL_B_002,EL_A_002,16,2.8203125,-2.9375,2.041551246537396
CM_B_UM_012,CM_A_STD_001,16,2.75,0.828125,0.6988636363636364
CM_B_UM_012,CM_A_STD_009,16,2.75,7.765625,-1.8238636363636362
CM_B_UM_012,CM_B_UM_021,16,2.75,-0.4375,1.1590909090909092
CM_B_004,CM_A_STD_007,16,2.671875,2.0,0.2514619883040936
CM_B_STD_015,CM_B_STD_001,16,2.625,2.34375,0.1071428571428571
CM_B_STD_015,CM_B_UM_048,16,2.625,-4.34375,2.6547619047619047
CM_B_UM_001,CM_A_STD_012,16,2.46875,2.21875,0.10126582278481011
CM_B_UM_001,CM_B_UM_008,16,2.46875,3.21875,-0.30379746835443044
CM_B_UM_001,CM_B_UM_036,16,2.46875,2.03125,0.17721518987341767
CM_B_STD_014,CM_B_UM_053,16,2.40625,-2.25,1.935064935064935
