family_id,donor_id,patch_layer,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,CM_B_002,16,10.03125,7.59375,0.2429906542056075
CM_B_UM_059,CM_B_007,16,10.03125,8.375,0.1651090342679128
CM_B_UM_059,CM_B_008,16,10.03125,1.0625,0.8940809968847352
CM_B_UM_032,CM_B_002,16,5.5625,-1.28125,1.2303370786516854
CM_B_UM_032,CM_B_007,16,5.5625,1.34375,0.7584269662921348
CM_B_UM_032,CM_B_008,16,5.5625,-5.0,1.898876404494382
CM_B_STD_006,CM_B_002,16,5.4375,4.375,0.1954022988505747
CM_B_STD_006,CM_B_007,16,5.4375,4.46875,0.17816091954022983
CM_B_STD_006,CM_B_008,16,5.4375,-0.78125,1.1436781609195403
CM_B_UM_055,CM_B_002,16,5.171875,0.703125,0.8640483383685801
CM_B_UM_055,CM_B_007,16,5.171875,4.421875,0.14501510574018128
CM_B_UM_055,CM_B_008,16,5.171875,-3.828125,1.7401812688821754
CM_B_STD_013,CM_B_002,16,4.96875,5.3125,-0.0691823899371069
CM_B_STD_013,CM_B_007,16,4.96875,5.09375,-0.02515723270440251
CM_B_STD_013,CM_B_008,16,4.96875,3.65625,0.26415094339622647
CM_B_UM_052,CM_B_002,16,4.921875,1.484375,0.6984126984126984
CM_B_UM_052,CM_B_007,16,4.921875,4.140625,0.15873015873015872
CM_B_UM_052,CM_B_008,16,4.921875,-3.59375,1.7301587301587302
CM_B_STD_010,CM_B_002,16,4.84375,2.21875,0.5419354838709678
CM_B_STD_010,CM_B_007,16,4.84375,3.625,0.25161290322580643
CM_B_STD_010,CM_B_008,16,4.84375,-4.34375,1.896774193548387
CM_B_STD_011,CM_B_002,16,4.8125,-0.5625,1.1168831168831168
CM_B_STD_011,CM_B_007,16,4.8125,-0.15625,1.0324675324675325
CM_B_STD_011,CM_B_008,16,4.8125,-5.703125,2.1850649350649354
CM_B_UM_033,CM_B_002,16,4.53125,-0.515625,1.113793103448276
CM_B_UM_033,CM_B_007,16,4.53125,3.34375,0.26206896551724135
CM_B_UM_033,CM_B_008,16,4.53125,-4.1875,1.9241379310344828
CM_B_UM_009,CM_B_002,16,4.375,5.40625,-0.23571428571428577
CM_B_UM_009,CM_B_007,16,4.375,4.96875,-0.13571428571428568
CM_B_UM_009,CM_B_008,16,4.375,0.71875,0.8357142857142857
CM_B_UM_013,CM_B_002,16,3.453125,10.640625,-2.081447963800905
CM_B_UM_013,CM_B_007,16,3.453125,11.984375,-2.4705882352941178
CM_B_UM_013,CM_B_008,16,3.453125,4.359375,-0.2624434389140271
TH_B_UM_006,CM_B_002,16,3.40625,1.296875,0.6192660550458715
TH_B_UM_006,CM_B_007,16,3.40625,3.859375,-0.1330275229357798
TH_B_UM_006,CM_B_008,16,3.40625,-3.84375,2.1284403669724767
CM_B_UM_006,CM_B_002,16,3.140625,0.640625,0.7960199004975125
CM_B_UM_006,CM_B_007,16,3.140625,0.0,1.0
CM_B_UM_006,CM_B_008,16,3.140625,-2.40625,1.7661691542288556
TH_B_UM_008,CM_B_002,16,2.890625,2.109375,0.2702702702702703
TH_B_UM_008,CM_B_007,16,2.890625,3.40625,-0.17837837837837833
TH_B_UM_008,CM_B_008,16,2.890625,-1.796875,1.6216216216216215
EL_B_002,CM_B_002,16,2.8203125,7.1484375,-1.5346260387811634
EL_B_002,CM_B_007,16,2.8203125,7.3671875,-1.6121883656509697
EL_B_002,CM_B_008,16,2.8203125,-1.140625,1.404432132963989
CM_B_UM_012,CM_B_002,16,2.75,7.15625,-1.602272727272727
CM_B_UM_012,CM_B_007,16,2.75,8.40625,-2.0568181818181817
CM_B_UM_012,CM_B_008,16,2.75,2.359375,0.14204545454545459
CM_B_004,CM_B_002,16,2.671875,2.015625,0.24561403508771928
CM_B_004,CM_B_007,16,2.671875,3.0,-0.12280701754385959
CM_B_004,CM_B_008,16,2.671875,-1.53125,1.5730994152046782
CM_B_STD_015,CM_B_002,16,2.625,-1.9375,1.7380952380952381
CM_B_STD_015,CM_B_007,16,2.625,-0.1875,1.0714285714285714
CM_B_STD_015,CM_B_008,16,2.625,-5.28125,3.011904761904762
CM_B_UM_001,CM_B_002,16,2.46875,2.25,0.08860759493670889
CM_B_UM_001,CM_B_007,16,2.46875,3.28125,-0.3291139240506329
CM_B_UM_001,CM_B_008,16,2.46875,2.28125,0.07594936708860756
CM_B_STD_014,CM_B_002,16,2.40625,-2.34375,1.974025974025974
CM_B_STD_014,CM_B_007,16,2.40625,-1.1875,1.4935064935064934
CM_B_STD_014,CM_B_008,16,2.40625,-6.59375,3.74025974025974
