template_id,domain,cue_type,qwen_num_valid_parses,qwen_parse_rate_family,qwen_correct_rate_family,qwen_hat_S,qwen_S_lp,qwen_correct_answer,qwen_positive
CM_B_UM_061,mechanics,nongoverning_distractor,4,1.0,0.0,0.0,3.875,6.928 N*m,1
CM_B_UM_062,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.078125,24.48 N,0
CM_B_UM_063,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.34375,18.72 J,0
CM_C_006,electrostatics_circuits,frame_rendering,3,0.75,0.0,0.0,10.484375,2.0 C,1
CM_C_007,thermodynamics,frame_rendering,4,1.0,0.0,0.0,7.125,101325 Pa,1
CM_C_008,electrostatics_circuits,frame_rendering,3,0.75,0.75,1.0,11.203125,0.75 A,1
CM_C_009,electrostatics_circuits,frame_rendering,4,1.0,0.0,0.0,-0.90625,12.0 V,0
CM_C_010,electrostatics_circuits,frame_rendering,3,0.75,0.5,1.0,14.71875,0.002 F,1
CM_C_011,electrostatics_circuits,frame_rendering,1,0.25,0.0,0.0,30.5625,500 ohm,1
CM_C_012,mechanics,frame_rendering,4,1.0,0.0,0.0,0.09375,12.0 kg*m/s,0
CM_C_013,mechanics,frame_rendering,4,1.0,0.75,1.0,14.59375,9.8 m/s^2,1
CM_C_014,electrostatics_circuits,frame_rendering,4,1.0,0.75,1.0,8.78125,250 N/C,1
CM_C_015,thermodynamics,frame_rendering,4,1.0,0.75,1.0,24.46875,25 K,1
TH_B_UM_011,thermodynamics,nongoverning_distractor,4,1.0,0.0,0.0,3.125,1674.4 J,1
TH_B_UM_012,thermodynamics,nongoverning_distractor,4,1.0,0.0,0.0,-1.578125,1176 Pa,0
