family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_C_001,0,3,23,resid_post_last_prompt,head_knockout,,"11,13",4.40625,1.375,0.6879432624113475
CM_C_002,0,3,23,resid_post_last_prompt,head_knockout,,"11,13",6.78125,7.03125,-0.03686635944700467
CM_C_003,0,2,23,resid_post_last_prompt,head_knockout,,"11,13",6.546875,4.546875,0.3054892601431981
CM_C_004,0,1,23,resid_post_last_prompt,head_knockout,,"11,13",13.546875,11.703125,0.13610149942329874
CM_C_005,0,3,23,resid_post_last_prompt,head_knockout,,"11,13",13.828125,12.703125,0.08135593220338988
CM_C_006,0,3,23,resid_post_last_prompt,head_knockout,,"11,13",10.484375,9.234375,0.11922503725782418
CM_C_007,0,1,23,resid_post_last_prompt,head_knockout,,"11,13",7.125,5.484375,0.23026315789473684
CM_C_008,0,1,23,resid_post_last_prompt,head_knockout,,"11,13",11.203125,10.046875,0.10320781032078108
CM_C_010,0,3,23,resid_post_last_prompt,head_knockout,,"11,13",14.71875,14.125,0.04033970276008492
CM_C_013,0,2,23,resid_post_last_prompt,head_knockout,,"11,13",14.59375,12.5625,0.13918629550321204
CM_C_014,0,2,23,resid_post_last_prompt,head_knockout,,"11,13",8.78125,6.390625,0.27224199288256223
CM_C_015,0,3,23,resid_post_last_prompt,head_knockout,,"11,13",24.46875,23.875,0.024265644955300147
