family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_C_001,0,3,23,resid_post_last_prompt,head_knockout,11,11,4.40625,1.71875,0.6099290780141844
CM_C_002,0,3,23,resid_post_last_prompt,head_knockout,11,11,6.78125,7.21875,-0.06451612903225801
CM_C_003,0,2,23,resid_post_last_prompt,head_knockout,11,11,6.546875,5.0,0.2362768496420048
CM_C_004,0,1,23,resid_post_last_prompt,head_knockout,11,11,13.546875,12.21875,0.0980392156862745
CM_C_005,0,3,23,resid_post_last_prompt,head_knockout,11,11,13.828125,12.984375,0.06101694915254241
CM_C_006,0,3,23,resid_post_last_prompt,head_knockout,11,11,10.484375,9.265625,0.11624441132637853
CM_C_007,0,1,23,resid_post_last_prompt,head_knockout,11,11,7.125,5.9375,0.16666666666666663
CM_C_008,0,1,23,resid_post_last_prompt,head_knockout,11,11,11.203125,10.171875,0.09205020920502094
CM_C_010,0,3,23,resid_post_last_prompt,head_knockout,11,11,14.71875,14.28125,0.02972399150743099
CM_C_013,0,2,23,resid_post_last_prompt,head_knockout,11,11,14.59375,13.09375,0.10278372591006424
CM_C_014,0,2,23,resid_post_last_prompt,head_knockout,11,11,8.78125,7.0625,0.19572953736654808
CM_C_015,0,3,23,resid_post_last_prompt,head_knockout,11,11,24.46875,24.21875,0.010217113665389577
