family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,44,resid_post_last_prompt,head_knockout,20,20,7.03125,7.1875,-0.022222222222222143
CM_B_UM_032,0,1,44,resid_post_last_prompt,head_knockout,20,20,0.03125,0.15625,-4.0
CM_B_STD_006,0,1,44,resid_post_last_prompt,head_knockout,20,20,1.0,1.1875,-0.1875
CM_B_UM_055,0,1,44,resid_post_last_prompt,head_knockout,20,20,3.09375,3.296875,-0.06565656565656575
CM_B_STD_013,0,3,44,resid_post_last_prompt,head_knockout,20,20,0.34375,0.46875,-0.36363636363636354
CM_B_UM_052,0,1,44,resid_post_last_prompt,head_knockout,20,20,1.984375,2.1875,-0.10236220472440949
CM_B_STD_010,0,3,44,resid_post_last_prompt,head_knockout,20,20,-0.03125,0.1875,7.0
CM_B_STD_011,0,1,44,resid_post_last_prompt,head_knockout,20,20,0.3125,0.53125,-0.7
CM_B_UM_033,0,2,44,resid_post_last_prompt,head_knockout,20,20,0.796875,0.984375,-0.23529411764705888
CM_B_UM_009,0,1,44,resid_post_last_prompt,head_knockout,20,20,-0.09375,0.03125,1.3333333333333333
CM_B_UM_013,0,1,44,resid_post_last_prompt,head_knockout,20,20,0.625,0.703125,-0.125
TH_B_UM_006,0,1,44,resid_post_last_prompt,head_knockout,20,20,-0.0625,0.046875,1.75
CM_B_UM_006,0,3,44,resid_post_last_prompt,head_knockout,20,20,-0.484375,-0.375,0.22580645161290325
TH_B_UM_008,0,1,44,resid_post_last_prompt,head_knockout,20,20,-1.296875,-1.203125,0.07228915662650603
EL_B_002,0,1,44,resid_post_last_prompt,head_knockout,20,20,-0.1875,-0.015625,0.9166666666666666
CM_B_UM_012,0,1,44,resid_post_last_prompt,head_knockout,20,20,0.09375,0.203125,-1.1666666666666665
CM_B_004,0,3,44,resid_post_last_prompt,head_knockout,20,20,-0.078125,0.125,2.6
CM_B_STD_015,0,3,44,resid_post_last_prompt,head_knockout,20,20,1.203125,1.40625,-0.16883116883116878
CM_B_UM_001,0,1,44,resid_post_last_prompt,head_knockout,20,20,-0.15625,-0.015625,0.9
CM_B_STD_014,0,3,44,resid_post_last_prompt,head_knockout,20,20,1.234375,1.515625,-0.2278481012658229
