family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",10.03125,3.4375,0.6573208722741433
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",5.5625,-3.84375,1.6910112359550562
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",5.4375,-1.40625,1.2586206896551724
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",5.171875,-5.09375,1.9848942598187311
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",4.96875,0.28125,0.9433962264150944
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",4.921875,-4.625,1.9396825396825397
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",4.84375,0.5625,0.8838709677419355
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",4.8125,1.78125,0.6298701298701299
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",4.53125,-6.9375,2.5310344827586206
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",4.375,-3.375,1.7714285714285714
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",3.453125,-6.109375,2.769230769230769
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",3.40625,-6.234375,2.830275229357798
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",3.140625,-0.890625,1.2835820895522387
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",2.890625,-5.078125,2.756756756756757
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",2.8203125,-6.06640625,3.1509695290858724
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",2.75,-6.09375,3.215909090909091
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,,"11,24",2.671875,-2.234375,1.8362573099415205
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,,"11,24",2.625,-1.40625,1.5357142857142856
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,,"11,24",2.46875,1.15625,0.5316455696202531
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,,"11,24",2.40625,-0.34375,1.1428571428571428
