family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059_RENAME,0,1,16,resid_post_last_prompt,head_knockout,11,11,13.78125,8.15625,0.40816326530612246
CM_B_UM_032_RENAME,0,1,16,resid_post_last_prompt,head_knockout,11,11,4.53125,-6.78125,2.496551724137931
CM_B_STD_006_RENAME,0,2,16,resid_post_last_prompt,head_knockout,11,11,3.71875,-2.96875,1.7983193277310925
CM_B_UM_055_RENAME,0,2,16,resid_post_last_prompt,head_knockout,11,11,0.3125,-5.5,18.6
CM_B_STD_013_RENAME,0,3,16,resid_post_last_prompt,head_knockout,11,11,0.65625,-2.65625,5.0476190476190474
CM_B_UM_052_RENAME,0,2,16,resid_post_last_prompt,head_knockout,11,11,4.921875,-2.078125,1.4222222222222223
CM_B_STD_010_RENAME,0,2,16,resid_post_last_prompt,head_knockout,11,11,2.65625,-1.40625,1.5294117647058822
CM_B_STD_011_RENAME,0,3,16,resid_post_last_prompt,head_knockout,11,11,4.78125,1.40625,0.7058823529411764
CM_B_UM_033_RENAME,0,1,16,resid_post_last_prompt,head_knockout,11,11,0.65625,-8.140625,13.404761904761905
CM_B_UM_009_RENAME,0,2,16,resid_post_last_prompt,head_knockout,11,11,1.40625,-8.484375,7.033333333333333
