family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_A_STD_003,0,3,42,resid_post_last_prompt,head_knockout,38,38,0.65625,0.4375,0.33333333333333337
CM_A_STD_003,0,3,43,resid_post_last_prompt,head_knockout,38,38,0.65625,0.65625,0.0
CM_A_STD_003,0,3,44,resid_post_last_prompt,head_knockout,38,38,0.65625,0.71875,-0.09523809523809534
CM_A_STD_003,0,3,45,resid_post_last_prompt,head_knockout,38,38,0.65625,0.671875,-0.023809523809523725
CM_A_STD_004,0,2,42,resid_post_last_prompt,head_knockout,38,38,0.5,0.40625,0.1875
CM_A_STD_004,0,2,43,resid_post_last_prompt,head_knockout,38,38,0.5,0.5625,-0.125
CM_A_STD_004,0,2,44,resid_post_last_prompt,head_knockout,38,38,0.5,0.671875,-0.34375
CM_A_STD_004,0,2,45,resid_post_last_prompt,head_knockout,38,38,0.5,0.515625,-0.03125
CM_A_STD_007,0,3,42,resid_post_last_prompt,head_knockout,38,38,0.578125,0.390625,0.32432432432432434
CM_A_STD_007,0,3,43,resid_post_last_prompt,head_knockout,38,38,0.578125,0.625,-0.08108108108108114
CM_A_STD_007,0,3,44,resid_post_last_prompt,head_knockout,38,38,0.578125,0.65625,-0.1351351351351351
CM_A_STD_007,0,3,45,resid_post_last_prompt,head_knockout,38,38,0.578125,0.609375,-0.054054054054053946
CM_A_STD_008,0,1,42,resid_post_last_prompt,head_knockout,38,38,7.109375,6.890625,0.03076923076923077
CM_A_STD_008,0,1,43,resid_post_last_prompt,head_knockout,38,38,7.109375,7.171875,-0.00879120879120876
CM_A_STD_008,0,1,44,resid_post_last_prompt,head_knockout,38,38,7.109375,7.265625,-0.0219780219780219
CM_A_STD_008,0,1,45,resid_post_last_prompt,head_knockout,38,38,7.109375,7.109375,0.0
CM_A_STD_010,0,2,42,resid_post_last_prompt,head_knockout,38,38,1.921875,1.921875,0.0
CM_A_STD_010,0,2,43,resid_post_last_prompt,head_knockout,38,38,1.921875,2.0,-0.04065040650406515
CM_A_STD_010,0,2,44,resid_post_last_prompt,head_knockout,38,38,1.921875,2.109375,-0.09756097560975618
CM_A_STD_010,0,2,45,resid_post_last_prompt,head_knockout,38,38,1.921875,1.921875,0.0
CM_A_STD_013,0,2,42,resid_post_last_prompt,head_knockout,38,38,1.375,1.1875,0.13636363636363635
CM_A_STD_013,0,2,43,resid_post_last_prompt,head_knockout,38,38,1.375,1.40625,-0.022727272727272707
CM_A_STD_013,0,2,44,resid_post_last_prompt,head_knockout,38,38,1.375,1.53125,-0.11363636363636354
CM_A_STD_013,0,2,45,resid_post_last_prompt,head_knockout,38,38,1.375,1.390625,-0.011363636363636465
CM_B_STD_001,0,1,42,resid_post_last_prompt,head_knockout,38,38,6.40625,6.15625,0.039024390243902474
CM_B_STD_001,0,1,43,resid_post_last_prompt,head_knockout,38,38,6.40625,6.46875,-0.009756097560975618
CM_B_STD_001,0,1,44,resid_post_last_prompt,head_knockout,38,38,6.40625,6.46875,-0.009756097560975618
CM_B_STD_001,0,1,45,resid_post_last_prompt,head_knockout,38,38,6.40625,6.40625,0.0
CM_B_STD_003,0,2,42,resid_post_last_prompt,head_knockout,38,38,7.0,6.78125,0.03125
