family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,16,16,2.0,1.96875,0.015625
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,16,16,2.0,1.90625,0.046875
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,16,16,2.0,1.90625,0.046875
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,16,16,1.875,1.875,0.0
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,16,16,1.875,1.84375,0.01666666666666672
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,16,16,1.875,1.90625,-0.016666666666666607
CM_B_STD_006,0,3,19,resid_post_last_prompt,head_knockout,16,16,-0.28125,-0.265625,0.05555555555555558
CM_B_STD_006,0,3,20,resid_post_last_prompt,head_knockout,16,16,-0.28125,-0.390625,-0.38888888888888884
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,16,16,-0.28125,-0.3125,-0.11111111111111116
CM_B_UM_055,0,3,19,resid_post_last_prompt,head_knockout,16,16,0.546875,0.53125,0.02857142857142858
CM_B_UM_055,0,3,20,resid_post_last_prompt,head_knockout,16,16,0.546875,0.5,0.08571428571428574
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,16,16,0.546875,0.5625,-0.02857142857142847
CM_B_STD_013,0,2,19,resid_post_last_prompt,head_knockout,16,16,0.25,0.3125,-0.25
CM_B_STD_013,0,2,20,resid_post_last_prompt,head_knockout,16,16,0.25,0.234375,0.0625
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,16,16,0.25,0.21875,0.125
CM_B_UM_052,0,3,19,resid_post_last_prompt,head_knockout,16,16,2.171875,2.171875,0.0
CM_B_UM_052,0,3,20,resid_post_last_prompt,head_knockout,16,16,2.171875,2.09375,0.03597122302158273
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,16,16,2.171875,2.203125,-0.014388489208633004
CM_B_STD_010,0,2,19,resid_post_last_prompt,head_knockout,16,16,0.296875,0.234375,0.21052631578947367
CM_B_STD_010,0,2,20,resid_post_last_prompt,head_knockout,16,16,0.296875,0.109375,0.631578947368421
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,16,16,0.296875,0.203125,0.3157894736842105
CM_B_STD_011,0,1,19,resid_post_last_prompt,head_knockout,16,16,0.359375,0.375,-0.04347826086956519
CM_B_STD_011,0,1,20,resid_post_last_prompt,head_knockout,16,16,0.359375,0.265625,0.26086956521739135
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,16,16,0.359375,0.375,-0.04347826086956519
CM_B_UM_033,0,2,19,resid_post_last_prompt,head_knockout,16,16,0.078125,0.03125,0.6
CM_B_UM_033,0,2,20,resid_post_last_prompt,head_knockout,16,16,0.078125,0.0,1.0
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,16,16,0.078125,0.109375,-0.3999999999999999
CM_B_UM_009,0,2,19,resid_post_last_prompt,head_knockout,16,16,0.53125,0.53125,0.0
CM_B_UM_009,0,2,20,resid_post_last_prompt,head_knockout,16,16,0.53125,0.453125,0.1470588235294118
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,16,16,0.53125,0.515625,0.02941176470588236
CM_B_UM_013,0,1,19,resid_post_last_prompt,head_knockout,16,16,2.515625,2.515625,0.0
CM_B_UM_013,0,1,20,resid_post_last_prompt,head_knockout,16,16,2.515625,2.453125,0.024844720496894457
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,16,16,2.515625,2.515625,0.0
TH_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,16,16,-0.046875,-0.03125,0.33333333333333337
TH_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,16,16,-0.046875,-0.125,-1.6666666666666665
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,16,16,-0.046875,-0.0625,-0.33333333333333326
CM_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,16,16,-0.4140625,-0.359375,0.13207547169811318
CM_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,16,16,-0.4140625,-0.46875,-0.13207547169811318
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,16,16,-0.4140625,-0.46875,-0.13207547169811318
TH_B_UM_008,0,1,19,resid_post_last_prompt,head_knockout,16,16,0.984375,0.984375,0.0
TH_B_UM_008,0,1,20,resid_post_last_prompt,head_knockout,16,16,0.984375,0.890625,0.09523809523809523
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,16,16,0.984375,0.9375,0.04761904761904767
EL_B_002,0,1,19,resid_post_last_prompt,head_knockout,16,16,0.0625,0.078125,-0.25
EL_B_002,0,1,20,resid_post_last_prompt,head_knockout,16,16,0.0625,0.0,1.0
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,16,16,0.0625,0.015625,0.75
CM_B_UM_012,0,1,19,resid_post_last_prompt,head_knockout,16,16,-0.328125,-0.28125,0.1428571428571429
CM_B_UM_012,0,1,20,resid_post_last_prompt,head_knockout,16,16,-0.328125,-0.359375,-0.09523809523809534
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,16,16,-0.328125,-0.34375,-0.04761904761904767
CM_B_004,0,1,19,resid_post_last_prompt,head_knockout,16,16,-0.21875,-0.1875,0.1428571428571429
CM_B_004,0,1,20,resid_post_last_prompt,head_knockout,16,16,-0.21875,-0.28125,-0.2857142857142858
