family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,2,2.0,-0.75,1.375
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,2,1.875,0.328125,0.825
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,2,-0.28125,-2.1875,-6.777777777777778
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,2,0.546875,-0.3125,1.5714285714285714
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,,2,0.25,-2.03125,9.125
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,,2,2.171875,1.15625,0.4676258992805755
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,,2,0.296875,-2.203125,8.421052631578949
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,,2,0.359375,-1.53125,5.260869565217392
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,,2,0.078125,-0.828125,11.6
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,,2,0.53125,-1.203125,3.264705882352941
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,,2,2.515625,1.078125,0.5714285714285714
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,2,-0.046875,-1.546875,-32.0
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,2,-0.4140625,-2.0234375,-3.8867924528301883
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,,2,0.984375,-0.625,1.6349206349206349
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,,2,0.0625,-1.484375,24.75
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,,2,-0.328125,-1.375,-3.1904761904761907
CM_B_004,0,1,21,resid_post_last_prompt,head_knockout,,2,-0.21875,-2.546875,-10.642857142857142
CM_B_STD_015,0,1,21,resid_post_last_prompt,head_knockout,,2,0.53125,-1.890625,4.5588235294117645
CM_B_UM_001,0,2,21,resid_post_last_prompt,head_knockout,,2,1.421875,-0.59375,1.4175824175824177
CM_B_STD_014,0,3,21,resid_post_last_prompt,head_knockout,,2,0.140625,-2.375,17.88888888888889
