family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",2.0,-1.1875,1.59375
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",1.875,-0.34375,1.1833333333333333
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23",-0.28125,-2.984375,-9.61111111111111
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.546875,-0.71875,2.314285714285714
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.25,-2.9375,12.75
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23",2.171875,0.625,0.7122302158273381
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.296875,-3.234375,11.894736842105264
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.359375,-1.796875,6.0
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.078125,-1.265625,17.2
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.53125,-2.140625,5.029411764705882
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",2.515625,0.484375,0.8074534161490683
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",-0.046875,-2.2421875,-46.833333333333336
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",-0.4140625,-3.0234375,-6.30188679245283
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.984375,-1.359375,2.380952380952381
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.0625,-2.140625,35.25
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",-0.328125,-2.03125,-5.190476190476191
CM_B_004,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",-0.21875,-3.3671875,-14.392857142857142
CM_B_STD_015,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.53125,-3.0625,6.764705882352941
CM_B_UM_001,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23",1.421875,-1.25,1.879120879120879
CM_B_STD_014,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23",0.140625,-3.1875,23.666666666666668
