family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",2.0,-1.375,1.6875
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",1.875,-0.4375,1.2333333333333334
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",-0.28125,-3.25,-10.555555555555555
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.546875,-0.765625,2.4
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.25,-3.171875,13.6875
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",2.171875,0.5,0.7697841726618705
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.296875,-3.484375,12.736842105263158
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.359375,-1.9375,6.391304347826087
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.078125,-1.34375,18.2
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.53125,-2.40625,5.529411764705882
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",2.515625,0.359375,0.8571428571428572
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",-0.046875,-2.4140625,-50.5
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",-0.4140625,-3.109375,-6.509433962264151
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.984375,-1.5625,2.587301587301587
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.0625,-2.453125,40.25
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",-0.328125,-2.25,-5.857142857142857
CM_B_004,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",-0.21875,-3.5625,-15.285714285714285
CM_B_STD_015,0,1,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.53125,-3.375,7.352941176470588
CM_B_UM_001,0,2,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",1.421875,-1.359375,1.9560439560439562
CM_B_STD_014,0,3,21,resid_post_last_prompt,head_knockout,,"2,10,23,9",0.140625,-3.4375,25.444444444444443
