family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",2.0,-0.96875,1.484375
CM_B_UM_032,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",1.875,0.03125,0.9833333333333333
CM_B_STD_006,0,3,21,resid_post_last_prompt,head_knockout,,"2,23",-0.28125,-2.484375,-7.833333333333334
CM_B_UM_055,0,3,21,resid_post_last_prompt,head_knockout,,"2,23",0.546875,-0.5,1.9142857142857141
CM_B_STD_013,0,2,21,resid_post_last_prompt,head_knockout,,"2,23",0.25,-2.234375,9.9375
CM_B_UM_052,0,3,21,resid_post_last_prompt,head_knockout,,"2,23",2.171875,0.9375,0.5683453237410072
CM_B_STD_010,0,2,21,resid_post_last_prompt,head_knockout,,"2,23",0.296875,-2.28125,8.68421052631579
CM_B_STD_011,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",0.359375,-1.640625,5.565217391304348
CM_B_UM_033,0,2,21,resid_post_last_prompt,head_knockout,,"2,23",0.078125,-0.984375,13.6
CM_B_UM_009,0,2,21,resid_post_last_prompt,head_knockout,,"2,23",0.53125,-1.46875,3.764705882352941
CM_B_UM_013,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",2.515625,0.84375,0.6645962732919255
TH_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",-0.046875,-1.703125,-35.333333333333336
CM_B_UM_006,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",-0.4140625,-2.2421875,-4.415094339622642
TH_B_UM_008,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",0.984375,-0.796875,1.8095238095238095
EL_B_002,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",0.0625,-1.625,27.0
CM_B_UM_012,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",-0.328125,-1.625,-3.9523809523809526
CM_B_004,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",-0.21875,-2.8359375,-11.964285714285714
CM_B_STD_015,0,1,21,resid_post_last_prompt,head_knockout,,"2,23",0.53125,-2.140625,5.029411764705882
CM_B_UM_001,0,2,21,resid_post_last_prompt,head_knockout,,"2,23",1.421875,-0.8125,1.5714285714285714
CM_B_STD_014,0,3,21,resid_post_last_prompt,head_knockout,,"2,23",0.140625,-2.640625,19.77777777777778
