template_id,domain,cue_type,governing_law,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp,qwen_S_lp_repair,llama_S_lp_repair
CM_A_001,mechanics,irrelevant_variable,kinematics_constant_acceleration_final_velocity,0.0,0.0,0.0,0.0,True,True,False,,1.1875,0.25,0.40625,0.0
CM_A_002,mechanics,irrelevant_variable,kinematics_constant_acceleration_displacement,0.0,0.0,0.0,0.0,True,True,False,,0.296875,0.125,0.0,0.015625
CM_A_003,mechanics,irrelevant_variable,kinetic_energy,0.0,0.0,0.0,0.0,True,True,False,,1.734375,0.0,1.3125,0.0
CM_A_004,mechanics,irrelevant_variable,newton_second_law_net_force,0.0,0.0,0.0,0.0,True,True,False,,0.1875,0.0,0.09375,0.0
CM_A_005,mechanics,irrelevant_variable,gravitational_potential_energy,0.0,0.0,0.0,0.0,True,True,False,,0.65625,0.4375,0.0,0.0
CM_A_006,mechanics,irrelevant_variable,hookes_law,0.0,0.0,0.0,0.0,True,True,False,,1.40625,0.0,0.84375,0.0
CM_A_007,mechanics,irrelevant_variable,centripetal_force,0.0,0.0,0.0,0.0,True,True,False,,1.421875,0.109375,0.40625,0.0
CM_A_008,mechanics,irrelevant_variable,perfectly_inelastic_collision,,,0.0,0.0,False,True,False,qwen_degraded,0.28125,0.84375,0.78125,0.109375
CM_A_009,mechanics,irrelevant_variable,torque_perpendicular_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.078125,0.09375,0.390625
CM_A_010,mechanics,irrelevant_variable,work_constant_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.28125,0.0,0.1875
CM_B_001,mechanics,nongoverning_distractor,newton_second_law_net_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.21875,0.03125,0.34375
CM_B_002,mechanics,nongoverning_distractor,kinematics_constant_acceleration_final_velocity,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.203125,0.0,0.203125
CM_B_003,mechanics,nongoverning_distractor,kinetic_energy,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0,0.0,0.0
CM_B_004,mechanics,nongoverning_distractor,gravitational_potential_energy,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.109375,0.0,0.171875
CM_B_005,mechanics,nongoverning_distractor,hookes_law,0.0,0.0,0.0,0.0,True,True,False,,0.375,0.21875,0.8125,0.0
CM_B_006,mechanics,nongoverning_distractor,momentum,0.0,0.0,0.0,0.0,True,True,False,,0.046875,0.0,4.25,0.0
CM_B_007,mechanics,nongoverning_distractor,centripetal_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.2734375,0.0625,0.359375
CM_B_008,mechanics,nongoverning_distractor,work_constant_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0,0.0,0.0
CM_B_009,mechanics,nongoverning_distractor,perfectly_inelastic_collision,0.0,0.0,0.0,0.0,False,True,False,qwen_degraded,0.59375,0.3359375,0.0,0.171875
CM_B_010,mechanics,nongoverning_distractor,torque_perpendicular_force,0.0,0.0,0.0,0.0,True,True,False,,0.203125,0.296875,0.0,0.0
EL_A_001,electrostatics_circuits,irrelevant_variable,ohms_law_voltage,0.0,0.0,0.0,0.0,True,True,False,,0.4375,0.2265625,0.15625,0.3125
EL_A_002,electrostatics_circuits,irrelevant_variable,power_dissipation_i_squared_r,0.0,0.0,0.0,0.0,True,True,False,,1.40625,0.3984375,0.4375,0.28125
EL_A_003,electrostatics_circuits,irrelevant_variable,capacitor_charge,0.0,0.0,0.0,0.0,True,True,False,,0.796875,0.0,0.5,0.1875
EL_A_004,electrostatics_circuits,irrelevant_variable,coulombs_law,0.0,0.0,0.5,0.0,True,True,False,llama_degraded_calculation_error,0.21875,0.0625,0.0,1.125
EL_A_005,electrostatics_circuits,irrelevant_variable,electric_field_point_charge,0.0,0.0,0.5,0.0,True,True,False,llama_suspect_single_variant_anomaly,0.375,0.09375,0.21875,0.03125
EL_B_001,electrostatics_circuits,nongoverning_distractor,ohms_law_voltage,0.0,0.0,0.0,0.0,True,True,False,,0.609375,0.359375,0.46875,0.859375
EL_B_002,electrostatics_circuits,nongoverning_distractor,power_from_voltage_and_resistance,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0,0.5625,0.0
EL_B_003,electrostatics_circuits,nongoverning_distractor,capacitor_charge,0.0,0.0,0.0,0.0,True,False,False,llama_degraded,0.84375,0.0,0.0,0.0
EL_B_004,electrostatics_circuits,nongoverning_distractor,coulombs_law,,,0.0,0.0,False,True,False,qwen_degraded,0.34375,0.0,1.90625,0.0
EL_B_005,electrostatics_circuits,nongoverning_distractor,electric_field_point_charge,0.0,0.0,0.5,0.5,False,True,False,qwen_degraded,0.0,0.296875,1.6875,0.0
