template_id,domain,cue_type,governing_law,stage6_class,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp
CM_A_001,mechanics,irrelevant_variable,kinematics_constant_acceleration_final_velocity,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_A_002,mechanics,irrelevant_variable,kinematics_constant_acceleration_displacement,,0.0,0.0,0.0,0.0,False,True,False,qwen_degraded,1.90625,0.15625
CM_A_003,mechanics,irrelevant_variable,kinetic_energy,,0.0,0.0,0.0,0.0,True,True,False,,0.34375,0.0
CM_A_004,mechanics,irrelevant_variable,newton_second_law_net_force,,0.0,0.0,0.0,0.0,True,True,False,,0.375,0.40625
CM_A_005,mechanics,irrelevant_variable,gravitational_potential_energy,,0.0,0.0,0.5,0.5,True,True,False,,0.640625,0.0
CM_A_006,mechanics,irrelevant_variable,hookes_law,,0.0,0.0,0.0,0.0,True,True,False,,0.296875,0.046875
CM_A_007,mechanics,irrelevant_variable,centripetal_force,,0.0,0.0,0.0,0.0,True,True,False,,0.5,0.0
CM_A_008,mechanics,irrelevant_variable,perfectly_inelastic_collision,,0.0,0.0,0.5,0.5,True,True,False,,0.921875,0.21875
CM_A_009,mechanics,irrelevant_variable,torque_perpendicular_force,,0.0,0.0,0.0,0.0,True,True,False,,0.0625,0.578125
CM_A_010,mechanics,irrelevant_variable,work_constant_force,,0.0,0.0,0.0,0.0,True,True,False,,0.46875,0.140625
CM_A_STD_001,mechanics,irrelevant_variable,kinematics_final_velocity,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.03125
CM_A_STD_002,mechanics,irrelevant_variable,kinematics_displacement,,0.0,0.0,0.0,0.0,True,True,False,,1.421875,0.21875
CM_A_STD_003,mechanics,irrelevant_variable,kinetic_energy,,0.0,0.0,0.0,0.0,True,True,False,,1.03125,0.046875
CM_A_STD_004,mechanics,irrelevant_variable,hooke_law_force,,0.0,0.0,0.0,0.0,True,True,False,,1.09375,1.328125
CM_A_STD_005,mechanics,irrelevant_variable,centripetal_force,,0.0,0.0,0.0,0.0,True,True,False,,2.296875,0.28125
CM_A_STD_006,mechanics,irrelevant_variable,momentum,,0.0,0.0,0.6666666666666666,0.6666666666666666,True,True,False,,0.03125,0.53125
CM_A_STD_007,mechanics,irrelevant_variable,gravitational_potential_energy,,0.0,0.0,0.6666666666666666,0.6666666666666666,True,True,False,,0.25,0.1875
CM_A_STD_008,mechanics,irrelevant_variable,work_done,,0.0,0.0,0.0,0.0,True,True,False,,0.078125,0.109375
