template_id,domain,cue_type,class_label,governing_law,answer_display,has_exact_match_distractor,min_relative_gap_to_answer,near_match_within_2pct,near_match_within_5pct,issues,priority_reason
CM_C_001,mechanics,frame_rendering,frame_rendering,unit_rendering_velocity,30.0 m/s,False,,False,False,,frame_rendering_equivalence
CM_C_002,mechanics,frame_rendering,frame_rendering,unit_rendering_force,50.0 N,False,,False,False,,frame_rendering_equivalence
CM_C_003,mechanics,frame_rendering,frame_rendering,unit_rendering_energy,1000 J,False,,False,False,,frame_rendering_equivalence
CM_C_004,electrostatics_circuits,frame_rendering,frame_rendering,unit_rendering_power,200 W,False,,False,False,,frame_rendering_equivalence
CM_C_005,mechanics,frame_rendering,frame_rendering,unit_rendering_frequency,50 Hz,False,,False,False,,frame_rendering_equivalence
CM_A_STD_017,thermodynamics,irrelevant_variable,standard_cue_a,heat_energy,41860 J,False,,False,False,,thermodynamics_domain
CM_A_STD_018,thermodynamics,irrelevant_variable,standard_cue_a,ideal_gas_pressure,99768 Pa,False,,False,False,,thermodynamics_domain
CM_A_STD_019,thermodynamics,irrelevant_variable,standard_cue_a,thermal_expansion,0.01 m,False,,False,False,,thermodynamics_domain
CM_A_STD_020,thermodynamics,irrelevant_variable,standard_cue_a,work_from_pressure_volume_change,2000 J,False,,False,False,,thermodynamics_domain
CM_B_STD_007,thermodynamics,nongoverning_distractor,standard_cue_b,heat_energy_capacity,42000 J,False,,False,False,,thermodynamics_domain
CM_B_STD_008,thermodynamics,nongoverning_distractor,standard_cue_b,heat_energy_aluminum_block,27000 J,False,,False,False,,thermodynamics_domain
CM_B_STD_009,thermodynamics,nongoverning_distractor,standard_cue_b,heat_energy_generic_capacity,60000 J,False,,False,False,,thermodynamics_domain
CM_A_STD_001,mechanics,irrelevant_variable,standard_cue_a,kinematics_final_velocity,12.0 m/s,False,,False,False,,standard_review
CM_A_STD_002,mechanics,irrelevant_variable,standard_cue_a,kinematics_displacement,18.0 m,False,,False,False,,standard_review
CM_A_STD_003,mechanics,irrelevant_variable,standard_cue_a,kinetic_energy,36.0 J,False,,False,False,,standard_review
CM_A_STD_004,mechanics,irrelevant_variable,standard_cue_a,hooke_law_force,14.0 N,False,,False,False,,standard_review
CM_A_STD_005,mechanics,irrelevant_variable,standard_cue_a,centripetal_force,18.0 N,False,,False,False,,standard_review
CM_A_STD_006,mechanics,irrelevant_variable,standard_cue_a,momentum,12.0 kg*m/s,False,,False,False,,standard_review
CM_A_STD_007,mechanics,irrelevant_variable,standard_cue_a,gravitational_potential_energy,98.0 J,False,,False,False,,standard_review
CM_A_STD_008,mechanics,irrelevant_variable,standard_cue_a,work_done,42.0 J,False,,False,False,,standard_review
CM_A_STD_009,mechanics,irrelevant_variable,standard_cue_a,torque,12.0 N*m,False,,False,False,,standard_review
CM_A_STD_010,mechanics,irrelevant_variable,standard_cue_a,wave_speed,18.0 m/s,False,,False,False,,standard_review
CM_A_STD_011,electrostatics_circuits,irrelevant_variable,standard_cue_a,ohms_law_voltage,12.0 V,False,,False,False,,standard_review
CM_A_STD_012,electrostatics_circuits,irrelevant_variable,standard_cue_a,power_from_voltage_and_resistance,18.0 W,False,,False,False,,standard_review
CM_A_STD_013,electrostatics_circuits,irrelevant_variable,standard_cue_a,capacitor_charge,3.0e-4 C,False,,False,False,,standard_review
CM_A_STD_014,electrostatics_circuits,irrelevant_variable,standard_cue_a,current_from_voltage_and_resistance,2.0 A,False,,False,False,,standard_review
CM_A_STD_015,electrostatics_circuits,irrelevant_variable,standard_cue_a,coulomb_force,0.4495 N,False,,False,False,,standard_review
CM_A_STD_016,electrostatics_circuits,irrelevant_variable,standard_cue_a,electric_field,143840 N/C,False,,False,False,,standard_review
CM_B_STD_001,mechanics,nongoverning_distractor,standard_cue_b,rotational_dynamics_angular_acceleration,4.0 rad/s^2,False,,False,False,,standard_review
CM_B_STD_002,mechanics,nongoverning_distractor,standard_cue_b,rotational_dynamics_from_force,4.0 rad/s^2,False,,False,False,,standard_review
CM_B_STD_003,mechanics,nongoverning_distractor,standard_cue_b,rotational_dynamics_braking,6.0 rad/s^2,False,,False,False,,standard_review
CM_B_STD_004,mechanics,nongoverning_distractor,standard_cue_b,fluid_static_pressure_depth,19600 Pa,False,,False,False,,standard_review
CM_B_STD_005,mechanics,nongoverning_distractor,standard_cue_b,fluid_static_pressure_density,39200 Pa,False,,False,False,,standard_review
CM_B_STD_006,mechanics,nongoverning_distractor,standard_cue_b,fluid_static_pressure_short_column,13328 Pa,False,,False,False,,standard_review
CM_B_STD_010,electrostatics_circuits,nongoverning_distractor,standard_cue_b,electric_field_point_charge,399555.6 N/C,False,,False,False,,standard_review
CM_B_STD_011,electrostatics_circuits,nongoverning_distractor,standard_cue_b,electric_field_distance_distractor,449500 N/C,False,,False,False,,standard_review
CM_B_STD_012,electrostatics_circuits,nongoverning_distractor,standard_cue_b,electric_field_second_charge_scale,149833.3 N/C,False,,False,False,,standard_review
CM_B_STD_013,mechanics,nongoverning_distractor,standard_cue_b,gravitational_force_satellite,10.005 N,False,,False,False,,standard_review
CM_B_STD_014,mechanics,nongoverning_distractor,standard_cue_b,gravitational_force_distance_distractor,1.334 N,False,,False,False,,standard_review
CM_B_STD_015,mechanics,nongoverning_distractor,standard_cue_b,gravitational_force_mass_distractor,4.002 N,False,,False,False,,standard_review
