template_id,domain,cue_type,deepseek_num_valid_parses,deepseek_parse_rate_family,deepseek_correct_rate_family,deepseek_hat_S,deepseek_S_lp,deepseek_correct_answer
CM_A_001,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.28125,11 m/s
CM_A_002,mechanics,irrelevant_variable,1,0.25,0.0,,0.5625,14 m
CM_A_003,mechanics,irrelevant_variable,3,0.75,1.0,0.0,0.171875,24 J
CM_A_004,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.125,5 m/s^2
CM_A_005,mechanics,irrelevant_variable,0,0.0,0.0,,0.046875,98 J
CM_A_006,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.484375,10 N
CM_A_007,mechanics,irrelevant_variable,2,0.5,1.0,0.0,0.296875,3 N
CM_A_008,mechanics,irrelevant_variable,1,0.25,0.0,,0.625,2.4 m/s
CM_A_009,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.421875,10 N*m
CM_A_010,mechanics,irrelevant_variable,4,1.0,1.0,0.0,-0.046875,60 J
CM_A_STD_001,mechanics,irrelevant_variable,1,0.25,1.0,,0.890625,12 m/s
CM_A_STD_002,mechanics,irrelevant_variable,1,0.25,1.0,,0.234375,18 m
CM_A_STD_003,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.65625,36 J
CM_A_STD_004,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.5,14 N
CM_A_STD_005,mechanics,irrelevant_variable,0,0.0,0.0,,3.625,18 N
CM_A_STD_006,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.28125,12 kg*m/s
CM_A_STD_007,mechanics,irrelevant_variable,4,1.0,1.0,0.0,0.578125,98 J
CM_A_STD_008,mechanics,irrelevant_variable,3,0.75,1.0,0.0,7.109375,42 J
CM_A_STD_009,mechanics,irrelevant_variable,1,0.25,1.0,,-1.15625,12 N*m
CM_A_STD_010,mechanics,irrelevant_variable,3,0.75,0.6666666666666666,0.6666666666666666,1.921875,18 m/s
CM_A_STD_011,electrostatics_circuits,irrelevant_variable,2,0.5,0.5,1.0,0.0625,12 V
CM_A_STD_012,electrostatics_circuits,irrelevant_variable,0,0.0,0.0,,-0.625,18 W
CM_A_STD_013,electrostatics_circuits,irrelevant_variable,4,1.0,1.0,0.0,1.375,0.0003 C
CM_A_STD_014,electrostatics_circuits,irrelevant_variable,3,0.75,1.0,0.0,0.265625,2 A
CM_A_STD_015,electrostatics_circuits,irrelevant_variable,3,0.75,0.0,0.0,0.390625,0.4495 N
CM_A_STD_016,electrostatics_circuits,irrelevant_variable,0,0.0,0.0,,-0.15625,1.438e5 N/C
CM_A_STD_017,thermodynamics,irrelevant_variable,0,0.0,0.0,,0.03125,4.186e4 J
CM_A_STD_018,thermodynamics,irrelevant_variable,4,1.0,0.25,0.8333333333333334,0.25,9.977e4 Pa
CM_A_STD_019,thermodynamics,irrelevant_variable,4,1.0,1.0,0.0,-0.03125,0.01 m
CM_A_STD_020,thermodynamics,irrelevant_variable,0,0.0,0.0,,0.078125,2000 J
CM_B_001,mechanics,nongoverning_distractor,3,0.75,1.0,0.0,0.25,5 m/s^2
CM_B_002,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.03125,10 m/s
CM_B_003,mechanics,nongoverning_distractor,0,0.0,0.0,,-0.4375,50 J
CM_B_004,mechanics,nongoverning_distractor,2,0.5,0.0,1.0,-0.078125,117.6 J
CM_B_005,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.328125,12 N
CM_B_006,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.03125,14 kg*m/s
CM_B_007,mechanics,nongoverning_distractor,0,0.0,0.0,,0.03125,8 N
CM_B_008,mechanics,nongoverning_distractor,3,0.75,1.0,0.0,-0.125,160 J
CM_B_009,mechanics,nongoverning_distractor,0,0.0,0.0,,0.234375,3 m/s
CM_B_010,mechanics,nongoverning_distractor,1,0.25,1.0,,0.1875,15 N*m
CM_B_STD_001,mechanics,nongoverning_distractor,3,0.75,1.0,0.0,6.40625,4 rad/s^2
CM_B_STD_002,mechanics,nongoverning_distractor,0,0.0,0.0,,0.21875,4 rad/s^2
CM_B_STD_003,mechanics,nongoverning_distractor,2,0.5,1.0,0.0,7.0,6 rad/s^2
CM_B_STD_004,mechanics,nongoverning_distractor,1,0.25,0.0,,-0.59375,1.96e4 Pa
CM_B_STD_005,mechanics,nongoverning_distractor,3,0.75,0.0,0.0,0.484375,3.92e4 Pa
CM_B_STD_006,mechanics,nongoverning_distractor,1,0.25,0.0,,1.0,1.333e4 Pa
CM_B_STD_007,thermodynamics,nongoverning_distractor,2,0.5,1.0,0.0,0.34375,4.2e4 J
CM_B_STD_008,thermodynamics,nongoverning_distractor,1,0.25,1.0,,0.203125,2.7e4 J
CM_B_STD_009,thermodynamics,nongoverning_distractor,4,1.0,1.0,0.0,0.125,6e4 J
CM_B_STD_010,electrostatics_circuits,nongoverning_distractor,1,0.25,0.0,,-0.03125,3.996e5 N/C
CM_B_STD_011,electrostatics_circuits,nongoverning_distractor,0,0.0,0.0,,0.3125,4.495e5 N/C
CM_B_STD_012,electrostatics_circuits,nongoverning_distractor,1,0.25,0.0,,0.171875,1.498e5 N/C
CM_B_STD_013,mechanics,nongoverning_distractor,1,0.25,0.0,,0.34375,10.01 N
CM_B_STD_014,mechanics,nongoverning_distractor,1,0.25,0.0,,1.234375,1.334 N
CM_B_STD_015,mechanics,nongoverning_distractor,2,0.5,0.0,0.0,1.203125,4.002 N
CM_B_UM_001,mechanics,nongoverning_distractor,3,0.75,1.0,0.0,-0.15625,18 N
CM_B_UM_002,mechanics,nongoverning_distractor,4,1.0,0.75,0.5,0.359375,12 N
CM_B_UM_003,mechanics,nongoverning_distractor,3,0.75,0.6666666666666666,0.6666666666666666,-0.65625,24.5 N
CM_B_UM_004,mechanics,nongoverning_distractor,0,0.0,0.0,,2.90625,14.7 N
CM_B_UM_005,mechanics,nongoverning_distractor,2,0.5,1.0,0.0,-0.328125,29.4 N
CM_B_UM_006,mechanics,nongoverning_distractor,1,0.25,1.0,,-0.484375,18 N
CM_B_UM_007,mechanics,nongoverning_distractor,0,0.0,0.0,,0.203125,9.8 N
CM_B_UM_008,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.140625,19.6 N
CM_B_UM_009,mechanics,nongoverning_distractor,3,0.75,0.6666666666666666,0.6666666666666666,-0.09375,11 m/s
CM_B_UM_010,mechanics,nongoverning_distractor,4,1.0,0.75,0.5,0.453125,8 m/s
CM_B_UM_011,mechanics,nongoverning_distractor,3,0.75,1.0,0.0,-0.09375,14.7 m/s
CM_B_UM_012,mechanics,nongoverning_distractor,4,1.0,0.75,0.5,0.09375,12 m/s
CM_B_UM_013,mechanics,nongoverning_distractor,0,0.0,0.0,,0.625,3.142 m/s
CM_B_UM_014,mechanics,nongoverning_distractor,1,0.25,0.0,,0.359375,9 m/s
CM_B_UM_015,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,-0.0625,3 A
CM_B_UM_016,electrostatics_circuits,nongoverning_distractor,1,0.25,1.0,,0.015625,5 A
CM_B_UM_017,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,-0.140625,3 A
