family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,4,resid_post_last_prompt,10.03125,10.0625,-0.0031152647975076775
CM_B_UM_059,0,1,8,resid_post_last_prompt,10.03125,9.9375,0.009345794392523366
CM_B_UM_059,0,1,12,resid_post_last_prompt,10.03125,9.5625,0.04672897196261683
CM_B_UM_059,0,1,14,resid_post_last_prompt,10.03125,9.65625,0.03738317757009346
CM_B_UM_059,0,1,15,resid_post_last_prompt,10.03125,9.71875,0.031152647975077885
CM_B_UM_059,0,1,16,resid_post_last_prompt,10.03125,9.71875,0.031152647975077885
CM_B_UM_059,0,1,17,resid_post_last_prompt,10.03125,9.84375,0.01869158878504673
CM_B_UM_059,0,1,18,resid_post_last_prompt,10.03125,9.625,0.04049844236760125
CM_B_UM_059,0,1,19,resid_post_last_prompt,10.03125,9.59375,0.04361370716510904
CM_B_UM_059,0,1,20,resid_post_last_prompt,10.03125,9.59375,0.04361370716510904
CM_B_UM_059,0,1,22,resid_post_last_prompt,10.03125,9.71875,0.031152647975077885
CM_B_UM_059,0,1,25,resid_post_last_prompt,10.03125,10.375,-0.03426791277258556
CM_B_UM_032,0,1,4,resid_post_last_prompt,5.5625,5.65625,-0.016853932584269593
CM_B_UM_032,0,1,8,resid_post_last_prompt,5.5625,5.53125,0.005617977528089901
CM_B_UM_032,0,1,12,resid_post_last_prompt,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,14,resid_post_last_prompt,5.5625,5.75,-0.03370786516853941
CM_B_UM_032,0,1,15,resid_post_last_prompt,5.5625,5.8125,-0.04494382022471921
CM_B_UM_032,0,1,16,resid_post_last_prompt,5.5625,6.0,-0.0786516853932584
CM_B_UM_032,0,1,17,resid_post_last_prompt,5.5625,5.90625,-0.061797752808988804
CM_B_UM_032,0,1,18,resid_post_last_prompt,5.5625,6.71875,-0.2078651685393258
CM_B_UM_032,0,1,19,resid_post_last_prompt,5.5625,6.4375,-0.1573033707865168
CM_B_UM_032,0,1,20,resid_post_last_prompt,5.5625,6.40625,-0.151685393258427
CM_B_UM_032,0,1,22,resid_post_last_prompt,5.5625,6.5,-0.1685393258426966
CM_B_UM_032,0,1,25,resid_post_last_prompt,5.5625,6.5625,-0.1797752808988764
CM_B_STD_006,0,2,4,resid_post_last_prompt,5.4375,5.375,0.011494252873563204
CM_B_STD_006,0,2,8,resid_post_last_prompt,5.4375,5.34375,0.017241379310344862
CM_B_STD_006,0,2,12,resid_post_last_prompt,5.4375,5.125,0.05747126436781613
CM_B_STD_006,0,2,14,resid_post_last_prompt,5.4375,5.34375,0.017241379310344862
CM_B_STD_006,0,2,15,resid_post_last_prompt,5.4375,5.25,0.03448275862068961
CM_B_STD_006,0,2,16,resid_post_last_prompt,5.4375,5.5,-0.011494252873563315
CM_B_STD_006,0,2,17,resid_post_last_prompt,5.4375,5.375,0.011494252873563204
CM_B_STD_006,0,2,18,resid_post_last_prompt,5.4375,4.875,0.10344827586206895
CM_B_STD_006,0,2,19,resid_post_last_prompt,5.4375,4.875,0.10344827586206895
CM_B_STD_006,0,2,20,resid_post_last_prompt,5.4375,4.8125,0.11494252873563215
CM_B_STD_006,0,2,22,resid_post_last_prompt,5.4375,4.8125,0.11494252873563215
CM_B_STD_006,0,2,25,resid_post_last_prompt,5.4375,4.84375,0.10919540229885061
CM_B_UM_055,0,2,4,resid_post_last_prompt,5.171875,5.265625,-0.01812688821752273
CM_B_UM_055,0,2,8,resid_post_last_prompt,5.171875,4.703125,0.09063444108761332
CM_B_UM_055,0,2,12,resid_post_last_prompt,5.171875,4.953125,0.04229607250755285
CM_B_UM_055,0,2,14,resid_post_last_prompt,5.171875,4.609375,0.10876132930513593
CM_B_UM_055,0,2,15,resid_post_last_prompt,5.171875,4.734375,0.0845921450151057
CM_B_UM_055,0,2,16,resid_post_last_prompt,5.171875,4.578125,0.11480362537764355
CM_B_UM_055,0,2,17,resid_post_last_prompt,5.171875,4.828125,0.06646525679758308
CM_B_UM_055,0,2,18,resid_post_last_prompt,5.171875,4.921875,0.048338368580060465
CM_B_UM_055,0,2,19,resid_post_last_prompt,5.171875,4.953125,0.04229607250755285
CM_B_UM_055,0,2,20,resid_post_last_prompt,5.171875,4.234375,0.18126888217522663
CM_B_UM_055,0,2,22,resid_post_last_prompt,5.171875,3.546875,0.3141993957703928
CM_B_UM_055,0,2,25,resid_post_last_prompt,5.171875,3.578125,0.3081570996978852
CM_B_STD_013,0,2,4,resid_post_last_prompt,4.96875,4.84375,0.02515723270440251
CM_B_STD_013,0,2,8,resid_post_last_prompt,4.96875,4.84375,0.02515723270440251
CM_B_STD_013,0,2,12,resid_post_last_prompt,4.96875,4.6875,0.05660377358490565
CM_B_STD_013,0,2,14,resid_post_last_prompt,4.96875,4.46875,0.10062893081761004
CM_B_STD_013,0,2,15,resid_post_last_prompt,4.96875,4.375,0.11949685534591192
CM_B_STD_013,0,2,16,resid_post_last_prompt,4.96875,4.6875,0.05660377358490565
CM_B_STD_013,0,2,17,resid_post_last_prompt,4.96875,4.875,0.018867924528301883
CM_B_STD_013,0,2,18,resid_post_last_prompt,4.96875,4.75,0.04402515723270439
CM_B_STD_013,0,2,19,resid_post_last_prompt,4.96875,4.65625,0.06289308176100628
CM_B_STD_013,0,2,20,resid_post_last_prompt,4.96875,4.78125,0.037735849056603765
CM_B_STD_013,0,2,22,resid_post_last_prompt,4.96875,4.71875,0.05031446540880502
CM_B_STD_013,0,2,25,resid_post_last_prompt,4.96875,4.875,0.018867924528301883
CM_B_UM_052,0,1,4,resid_post_last_prompt,4.921875,4.546875,0.07619047619047614
CM_B_UM_052,0,1,8,resid_post_last_prompt,4.921875,4.671875,0.050793650793650835
CM_B_UM_052,0,1,12,resid_post_last_prompt,4.921875,4.890625,0.006349206349206327
CM_B_UM_052,0,1,14,resid_post_last_prompt,4.921875,4.265625,0.1333333333333333
CM_B_UM_052,0,1,15,resid_post_last_prompt,4.921875,4.359375,0.11428571428571432
CM_B_UM_052,0,1,16,resid_post_last_prompt,4.921875,4.546875,0.07619047619047614
CM_B_UM_052,0,1,17,resid_post_last_prompt,4.921875,4.734375,0.03809523809523807
CM_B_UM_052,0,1,18,resid_post_last_prompt,4.921875,5.359375,-0.0888888888888888
CM_B_UM_052,0,1,19,resid_post_last_prompt,4.921875,5.609375,-0.13968253968253963
CM_B_UM_052,0,1,20,resid_post_last_prompt,4.921875,5.109375,-0.03809523809523818
CM_B_UM_052,0,1,22,resid_post_last_prompt,4.921875,5.140625,-0.04444444444444451
CM_B_UM_052,0,1,25,resid_post_last_prompt,4.921875,5.046875,-0.025396825396825307
CM_B_STD_010,0,2,4,resid_post_last_prompt,4.84375,4.5,0.07096774193548383
CM_B_STD_010,0,2,8,resid_post_last_prompt,4.84375,4.53125,0.06451612903225812
CM_B_STD_010,0,2,12,resid_post_last_prompt,4.84375,4.4375,0.08387096774193548
CM_B_STD_010,0,2,14,resid_post_last_prompt,4.84375,4.5,0.07096774193548383
CM_B_STD_010,0,2,15,resid_post_last_prompt,4.84375,4.53125,0.06451612903225812
CM_B_STD_010,0,2,16,resid_post_last_prompt,4.84375,4.5625,0.058064516129032295
CM_B_STD_010,0,2,17,resid_post_last_prompt,4.84375,4.78125,0.012903225806451646
CM_B_STD_010,0,2,18,resid_post_last_prompt,4.84375,3.4375,0.29032258064516125
CM_B_STD_010,0,2,19,resid_post_last_prompt,4.84375,3.53125,0.2709677419354839
CM_B_STD_010,0,2,20,resid_post_last_prompt,4.84375,3.5,0.2774193548387097
CM_B_STD_010,0,2,22,resid_post_last_prompt,4.84375,3.53125,0.2709677419354839
CM_B_STD_010,0,2,25,resid_post_last_prompt,4.84375,3.625,0.25161290322580643
CM_B_STD_011,0,1,4,resid_post_last_prompt,4.8125,4.75,0.012987012987012991
CM_B_STD_011,0,1,8,resid_post_last_prompt,4.8125,4.6875,0.025974025974025983
CM_B_STD_011,0,1,12,resid_post_last_prompt,4.8125,4.75,0.012987012987012991
CM_B_STD_011,0,1,14,resid_post_last_prompt,4.8125,4.6875,0.025974025974025983
CM_B_STD_011,0,1,15,resid_post_last_prompt,4.8125,4.78125,0.00649350649350644
CM_B_STD_011,0,1,16,resid_post_last_prompt,4.8125,4.78125,0.00649350649350644
CM_B_STD_011,0,1,17,resid_post_last_prompt,4.8125,4.75,0.012987012987012991
CM_B_STD_011,0,1,18,resid_post_last_prompt,4.8125,4.78125,0.00649350649350644
CM_B_STD_011,0,1,19,resid_post_last_prompt,4.8125,4.8125,0.0
CM_B_STD_011,0,1,20,resid_post_last_prompt,4.8125,4.84375,-0.006493506493506551
CM_B_STD_011,0,1,22,resid_post_last_prompt,4.8125,4.84375,-0.006493506493506551
CM_B_STD_011,0,1,25,resid_post_last_prompt,4.8125,4.84375,-0.006493506493506551
CM_B_UM_033,0,1,4,resid_post_last_prompt,4.53125,3.921875,0.1344827586206897
CM_B_UM_033,0,1,8,resid_post_last_prompt,4.53125,3.84375,0.15172413793103445
CM_B_UM_033,0,1,12,resid_post_last_prompt,4.53125,3.96875,0.12413793103448278
CM_B_UM_033,0,1,14,resid_post_last_prompt,4.53125,3.84375,0.15172413793103445
CM_B_UM_033,0,1,15,resid_post_last_prompt,4.53125,4.03125,0.1103448275862069
CM_B_UM_033,0,1,16,resid_post_last_prompt,4.53125,3.9375,0.13103448275862073
CM_B_UM_033,0,1,17,resid_post_last_prompt,4.53125,3.890625,0.14137931034482754
CM_B_UM_033,0,1,18,resid_post_last_prompt,4.53125,4.03125,0.1103448275862069
CM_B_UM_033,0,1,19,resid_post_last_prompt,4.53125,4.125,0.08965517241379306
CM_B_UM_033,0,1,20,resid_post_last_prompt,4.53125,3.875,0.1448275862068965
CM_B_UM_033,0,1,22,resid_post_last_prompt,4.53125,3.296875,0.27241379310344827
CM_B_UM_033,0,1,25,resid_post_last_prompt,4.53125,3.296875,0.27241379310344827
CM_B_UM_009,0,1,4,resid_post_last_prompt,4.375,4.375,0.0
CM_B_UM_009,0,1,8,resid_post_last_prompt,4.375,4.3125,0.014285714285714235
CM_B_UM_009,0,1,12,resid_post_last_prompt,4.375,4.28125,0.021428571428571463
CM_B_UM_009,0,1,14,resid_post_last_prompt,4.375,4.25,0.02857142857142858
CM_B_UM_009,0,1,15,resid_post_last_prompt,4.375,4.21875,0.0357142857142857
CM_B_UM_009,0,1,16,resid_post_last_prompt,4.375,4.25,0.02857142857142858
CM_B_UM_009,0,1,17,resid_post_last_prompt,4.375,4.25,0.02857142857142858
CM_B_UM_009,0,1,18,resid_post_last_prompt,4.375,4.25,0.02857142857142858
CM_B_UM_009,0,1,19,resid_post_last_prompt,4.375,4.34375,0.0071428571428571175
CM_B_UM_009,0,1,20,resid_post_last_prompt,4.375,4.3125,0.014285714285714235
CM_B_UM_009,0,1,22,resid_post_last_prompt,4.375,4.34375,0.0071428571428571175
CM_B_UM_009,0,1,25,resid_post_last_prompt,4.375,4.40625,-0.0071428571428571175
CM_B_UM_013,0,1,4,resid_post_last_prompt,3.453125,3.515625,-0.018099547511312153
CM_B_UM_013,0,1,8,resid_post_last_prompt,3.453125,3.515625,-0.018099547511312153
CM_B_UM_013,0,1,12,resid_post_last_prompt,3.453125,3.453125,0.0
CM_B_UM_013,0,1,14,resid_post_last_prompt,3.453125,2.84375,0.17647058823529416
CM_B_UM_013,0,1,15,resid_post_last_prompt,3.453125,2.265625,0.3438914027149321
CM_B_UM_013,0,1,16,resid_post_last_prompt,3.453125,2.984375,0.1357466063348416
CM_B_UM_013,0,1,17,resid_post_last_prompt,3.453125,2.890625,0.16289592760180993
CM_B_UM_013,0,1,18,resid_post_last_prompt,3.453125,2.046875,0.4072398190045249
CM_B_UM_013,0,1,19,resid_post_last_prompt,3.453125,2.359375,0.3167420814479638
CM_B_UM_013,0,1,20,resid_post_last_prompt,3.453125,2.734375,0.20814479638009054
CM_B_UM_013,0,1,22,resid_post_last_prompt,3.453125,3.234375,0.06334841628959276
CM_B_UM_013,0,1,25,resid_post_last_prompt,3.453125,3.578125,-0.03619909502262453
TH_B_UM_006,0,1,4,resid_post_last_prompt,3.40625,3.328125,0.022935779816513735
