family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,4,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,8,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,12,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,14,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,15,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,16,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,17,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,18,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,19,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,20,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,22,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_059,0,1,25,resid_post_cue_token,10.03125,10.03125,0.0
CM_B_UM_032,0,1,4,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,8,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,12,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,14,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,15,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,16,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,17,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,18,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,19,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,20,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,22,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_UM_032,0,1,25,resid_post_cue_token,5.5625,5.96875,-0.0730337078651686
CM_B_STD_006,0,2,4,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,8,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,12,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,14,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,15,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,16,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,17,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,18,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,19,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,20,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,22,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_STD_006,0,2,25,resid_post_cue_token,5.4375,5.28125,0.028735632183908066
CM_B_UM_055,0,2,4,resid_post_cue_token,5.171875,5.078125,0.01812688821752262
CM_B_UM_055,0,2,8,resid_post_cue_token,5.171875,4.953125,0.04229607250755285
CM_B_UM_055,0,2,12,resid_post_cue_token,5.171875,5.109375,0.012084592145015116
CM_B_UM_055,0,2,14,resid_post_cue_token,5.171875,5.203125,-0.0060422960725075026
CM_B_UM_055,0,2,15,resid_post_cue_token,5.171875,5.078125,0.01812688821752262
CM_B_UM_055,0,2,16,resid_post_cue_token,5.171875,5.046875,0.024169184290030232
CM_B_UM_055,0,2,17,resid_post_cue_token,5.171875,5.078125,0.01812688821752262
