family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,4,resid_post_last_prompt,head_knockout,26,10.03125,10.0625,-0.0031152647975076775
CM_B_UM_059,0,1,8,resid_post_last_prompt,head_knockout,26,10.03125,11.5625,-0.15264797507788153
CM_B_UM_059,0,1,12,resid_post_last_prompt,head_knockout,26,10.03125,10.53125,-0.049844236760124616
CM_B_UM_059,0,1,14,resid_post_last_prompt,head_knockout,26,10.03125,9.34375,0.06853582554517135
CM_B_UM_059,0,1,15,resid_post_last_prompt,head_knockout,26,10.03125,10.5625,-0.052959501557632294
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,26,10.03125,8.9375,0.1090342679127726
CM_B_UM_059,0,1,17,resid_post_last_prompt,head_knockout,26,10.03125,9.71875,0.031152647975077885
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,26,10.03125,9.875,0.015576323987538943
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,26,10.03125,10.5625,-0.052959501557632294
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,26,10.03125,8.90625,0.11214953271028039
CM_B_UM_059,0,1,22,resid_post_last_prompt,head_knockout,26,10.03125,10.0,0.0031152647975077885
CM_B_UM_059,0,1,25,resid_post_last_prompt,head_knockout,26,10.03125,9.90625,0.012461059190031154
CM_B_UM_032,0,1,4,resid_post_last_prompt,head_knockout,26,5.5625,6.0,-0.0786516853932584
CM_B_UM_032,0,1,8,resid_post_last_prompt,head_knockout,26,5.5625,8.4375,-0.5168539325842696
CM_B_UM_032,0,1,12,resid_post_last_prompt,head_knockout,26,5.5625,7.03125,-0.2640449438202248
CM_B_UM_032,0,1,14,resid_post_last_prompt,head_knockout,26,5.5625,5.46875,0.016853932584269704
CM_B_UM_032,0,1,15,resid_post_last_prompt,head_knockout,26,5.5625,5.09375,0.0842696629213483
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,26,5.5625,5.4375,0.022471910112359605
CM_B_UM_032,0,1,17,resid_post_last_prompt,head_knockout,26,5.5625,4.8125,0.1348314606741573
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,26,5.5625,5.75,-0.03370786516853941
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,26,5.5625,7.0625,-0.2696629213483146
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,26,5.5625,4.875,0.1235955056179775
CM_B_UM_032,0,1,22,resid_post_last_prompt,head_knockout,26,5.5625,6.1875,-0.1123595505617978
CM_B_UM_032,0,1,25,resid_post_last_prompt,head_knockout,26,5.5625,5.96875,-0.0730337078651686
CM_B_STD_006,0,2,4,resid_post_last_prompt,head_knockout,26,5.4375,5.5,-0.011494252873563315
CM_B_STD_006,0,2,8,resid_post_last_prompt,head_knockout,26,5.4375,7.4375,-0.367816091954023
CM_B_STD_006,0,2,12,resid_post_last_prompt,head_knockout,26,5.4375,7.03125,-0.2931034482758621
CM_B_STD_006,0,2,14,resid_post_last_prompt,head_knockout,26,5.4375,5.03125,0.07471264367816088
CM_B_STD_006,0,2,15,resid_post_last_prompt,head_knockout,26,5.4375,6.03125,-0.10919540229885061
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,26,5.4375,4.84375,0.10919540229885061
CM_B_STD_006,0,2,17,resid_post_last_prompt,head_knockout,26,5.4375,4.875,0.10344827586206895
CM_B_STD_006,0,2,18,resid_post_last_prompt,head_knockout,26,5.4375,5.875,-0.08045977011494254
CM_B_STD_006,0,2,19,resid_post_last_prompt,head_knockout,26,5.4375,6.21875,-0.14367816091954033
CM_B_STD_006,0,2,20,resid_post_last_prompt,head_knockout,26,5.4375,4.6875,0.13793103448275867
CM_B_STD_006,0,2,22,resid_post_last_prompt,head_knockout,26,5.4375,5.34375,0.017241379310344862
