family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,12.90625,-0.28660436137071654
CM_B_UM_059,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,8.96875,0.10591900311526481
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,2.78125,0.7227414330218069
CM_B_UM_059,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,10.53125,-0.049844236760124616
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,9.78125,0.024922118380062308
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,9.90625,0.012461059190031154
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,10.0,0.0031152647975077885
CM_B_UM_032,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,10.0,-0.797752808988764
CM_B_UM_032,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,2.375,0.5730337078651686
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,-3.6875,1.6629213483146068
CM_B_UM_032,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,5.15625,0.0730337078651685
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,6.71875,-0.2078651685393258
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,6.125,-0.101123595505618
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,6.40625,-0.151685393258427
CM_B_STD_006,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,9.375,-0.7241379310344827
CM_B_STD_006,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,3.8125,0.29885057471264365
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,-3.0625,1.5632183908045976
CM_B_STD_006,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,6.15625,-0.13218390804597702
CM_B_STD_006,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,6.1875,-0.13793103448275867
CM_B_STD_006,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,3.59375,0.3390804597701149
CM_B_STD_006,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,5.6875,-0.04597701149425282
CM_B_UM_055,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,8.328125,-0.6102719033232629
CM_B_UM_055,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,-0.3125,1.0604229607250755
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,-5.484375,2.0604229607250755
CM_B_UM_055,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,5.203125,-0.0060422960725075026
CM_B_UM_055,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,6.171875,-0.19335347432024164
CM_B_UM_055,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,4.390625,0.15105740181268879
CM_B_UM_055,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,5.359375,-0.03625377643504524
CM_B_STD_013,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,8.28125,-0.6666666666666667
CM_B_STD_013,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,3.4375,0.30817610062893086
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,-1.0625,1.2138364779874213
CM_B_STD_013,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,5.6875,-0.14465408805031443
CM_B_STD_013,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,4.15625,0.16352201257861632
CM_B_STD_013,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,3.34375,0.32704402515723274
CM_B_STD_013,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,4.8125,0.03144654088050314
CM_B_UM_052,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,8.453125,-0.7174603174603174
CM_B_UM_052,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,-1.015625,1.2063492063492063
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,-5.28125,2.0730158730158728
CM_B_UM_052,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,5.109375,-0.03809523809523818
CM_B_UM_052,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,5.703125,-0.15873015873015883
CM_B_UM_052,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,3.421875,0.3047619047619048
CM_B_UM_052,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.921875,3.578125,0.27301587301587305
CM_B_STD_010,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,7.71875,-0.5935483870967742
CM_B_STD_010,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,3.46875,0.28387096774193543
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,-1.3125,1.270967741935484
CM_B_STD_010,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,5.125,-0.058064516129032295
CM_B_STD_010,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,4.59375,0.05161290322580647
CM_B_STD_010,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,3.25,0.3290322580645161
CM_B_STD_010,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.84375,4.34375,0.10322580645161294
CM_B_STD_011,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,6.65625,-0.3831168831168832
CM_B_STD_011,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,3.09375,0.3571428571428571
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,0.5625,0.8831168831168831
CM_B_STD_011,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,5.25,-0.09090909090909083
CM_B_STD_011,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,5.15625,-0.0714285714285714
CM_B_STD_011,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,3.71875,0.2272727272727273
CM_B_STD_011,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.8125,4.75,0.012987012987012991
CM_B_UM_033,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,8.984375,-0.9827586206896552
CM_B_UM_033,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,-1.359375,1.3
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,-7.375,2.6275862068965514
CM_B_UM_033,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,3.578125,0.21034482758620687
CM_B_UM_033,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,5.46875,-0.2068965517241379
CM_B_UM_033,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,3.296875,0.27241379310344827
CM_B_UM_033,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.53125,3.796875,0.16206896551724137
CM_B_UM_009,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,6.90625,-0.5785714285714285
CM_B_UM_009,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,2.03125,0.5357142857142857
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,-3.34375,1.7642857142857142
CM_B_UM_009,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,4.8125,-0.10000000000000009
CM_B_UM_009,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,3.9375,0.09999999999999998
CM_B_UM_009,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,4.25,0.02857142857142858
CM_B_UM_009,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,3.125,0.2857142857142857
CM_B_UM_013,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,10.359375,-2.0
CM_B_UM_013,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,0.515625,0.8506787330316742
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,-5.703125,2.6515837104072397
CM_B_UM_013,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,3.796875,-0.09954751131221728
CM_B_UM_013,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,3.609375,-0.045248868778280604
CM_B_UM_013,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,3.984375,-0.15384615384615374
CM_B_UM_013,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,3.328125,0.03619909502262442
TH_B_UM_006,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,8.328125,-1.4449541284403669
TH_B_UM_006,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,-0.234375,1.0688073394495412
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,-5.28125,2.5504587155963305
TH_B_UM_006,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,3.453125,-0.013761467889908285
TH_B_UM_006,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,4.03125,-0.1834862385321101
TH_B_UM_006,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,1.546875,0.5458715596330275
TH_B_UM_006,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,3.0,0.11926605504587151
CM_B_UM_006,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,5.578125,-0.7761194029850746
CM_B_UM_006,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,2.0,0.36318407960199006
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,-1.296875,1.4129353233830846
CM_B_UM_006,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,3.359375,-0.06965174129353224
CM_B_UM_006,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,1.625,0.48258706467661694
CM_B_UM_006,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,2.765625,0.11940298507462688
CM_B_UM_006,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,3.421875,-0.08955223880597019
TH_B_UM_008,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,6.703125,-1.3189189189189188
TH_B_UM_008,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,0.40625,0.8594594594594595
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,-4.03125,2.3945945945945946
TH_B_UM_008,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,2.96875,-0.027027027027026973
TH_B_UM_008,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,2.875,0.00540540540540535
TH_B_UM_008,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,1.015625,0.6486486486486487
TH_B_UM_008,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,2.984375,-0.03243243243243232
EL_B_002,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,10.9140625,-2.8698060941828256
EL_B_002,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,2.1171875,0.24930747922437668
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,-6.51953125,3.311634349030471
EL_B_002,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,4.6875,-0.6620498614958448
EL_B_002,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,1.75,0.3795013850415513
EL_B_002,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,1.7734375,0.37119113573407203
EL_B_002,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,1.140625,0.5955678670360111
CM_B_UM_012,0,2,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,8.78125,-2.1931818181818183
CM_B_UM_012,0,2,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,-1.234375,1.4488636363636362
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,-5.875,3.1363636363636362
CM_B_UM_012,0,2,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,2.90625,-0.05681818181818188
CM_B_UM_012,0,2,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,2.03125,0.26136363636363635
CM_B_UM_012,0,2,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,-0.171875,1.0625
CM_B_UM_012,0,2,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,1.328125,0.5170454545454546
CM_B_004,0,1,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,4.625,-0.7309941520467835
CM_B_004,0,1,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,3.1875,-0.1929824561403508
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,-3.0625,2.1461988304093564
CM_B_004,0,1,17,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,2.515625,0.05847953216374269
CM_B_004,0,1,18,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,2.15625,0.19298245614035092
CM_B_004,0,1,19,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,2.375,0.11111111111111116
CM_B_004,0,1,20,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,2.6875,-0.005847953216374213
CM_B_STD_015,0,3,14,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.625,4.40625,-0.6785714285714286
CM_B_STD_015,0,3,15,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.625,-1.75,1.6666666666666665
