family_id,variant_id,correct_without_knockout,correct_with_knockout
CM_A_001,0,1,1
CM_A_001,1,1,1
CM_A_001,2,1,1
CM_A_001,3,1,1
CM_A_STD_001,0,1,1
CM_A_STD_001,1,1,1
CM_A_STD_001,2,1,1
CM_A_STD_001,3,1,1
CM_A_STD_009,0,0,0
CM_A_STD_009,1,1,1
CM_A_STD_009,2,1,1
CM_A_STD_009,3,1,1
CM_A_STD_012,0,1,1
CM_A_STD_012,1,1,1
CM_A_STD_012,2,1,1
CM_A_STD_012,3,1,1
CM_A_STD_013,0,1,1
CM_A_STD_013,1,1,1
CM_A_STD_013,2,1,1
CM_A_STD_013,3,1,1
CM_A_STD_015,0,0,0
CM_A_STD_015,1,0,0
CM_A_STD_015,2,0,0
CM_A_STD_015,3,0,0
CM_A_STD_020,0,1,1
CM_A_STD_020,1,1,1
CM_A_STD_020,2,1,1
CM_A_STD_020,3,1,1
CM_B_002,0,1,1
CM_B_002,1,1,1
CM_B_002,2,1,1
CM_B_002,3,1,1
CM_B_003,0,0,0
CM_B_003,1,0,0
CM_B_003,2,0,0
CM_B_003,3,0,0
CM_B_007,0,1,1
CM_B_007,1,0,0
CM_B_007,2,1,1
CM_B_007,3,1,1
CM_B_008,0,1,1
CM_B_008,1,1,1
CM_B_008,2,1,1
CM_B_008,3,1,1
CM_B_010,0,1,1
CM_B_010,1,1,1
CM_B_010,2,1,1
CM_B_010,3,1,1
CM_B_STD_001,0,1,1
CM_B_STD_001,1,1,1
CM_B_STD_001,2,1,1
CM_B_STD_001,3,1,1
CM_B_STD_008,0,1,1
CM_B_STD_008,1,1,1
CM_B_STD_008,2,1,1
CM_B_STD_008,3,1,1
CM_B_UM_004,0,1,1
CM_B_UM_004,1,1,1
CM_B_UM_004,2,1,1
CM_B_UM_004,3,1,1
CM_B_UM_005,0,1,1
CM_B_UM_005,1,1,1
CM_B_UM_005,2,1,1
CM_B_UM_005,3,1,1
CM_B_UM_007,0,0,1
CM_B_UM_007,1,1,1
CM_B_UM_007,2,1,1
CM_B_UM_007,3,1,1
CM_B_UM_008,0,1,1
CM_B_UM_008,1,1,1
CM_B_UM_008,2,1,1
CM_B_UM_008,3,1,1
CM_B_UM_011,0,1,1
CM_B_UM_011,1,1,1
CM_B_UM_011,2,1,1
CM_B_UM_011,3,1,1
CM_B_UM_017,0,1,1
CM_B_UM_017,1,1,1
CM_B_UM_017,2,1,1
CM_B_UM_017,3,1,1
CM_B_UM_018,0,1,1
CM_B_UM_018,1,1,1
CM_B_UM_018,2,1,1
CM_B_UM_018,3,1,1
CM_B_UM_019,0,1,1
CM_B_UM_019,1,1,1
CM_B_UM_019,2,1,1
CM_B_UM_019,3,1,1
CM_B_UM_021,0,1,1
CM_B_UM_021,1,1,1
CM_B_UM_021,2,1,1
CM_B_UM_021,3,1,1
CM_B_UM_023,0,0,0
CM_B_UM_023,1,0,0
CM_B_UM_023,2,0,0
CM_B_UM_023,3,0,0
CM_B_UM_026,0,0,0
CM_B_UM_026,1,0,0
CM_B_UM_026,2,0,0
CM_B_UM_026,3,0,0
CM_B_UM_028,0,1,1
CM_B_UM_028,1,1,1
CM_B_UM_028,2,1,1
CM_B_UM_028,3,1,1
CM_B_UM_029,0,1,1
CM_B_UM_029,1,1,1
CM_B_UM_029,2,1,1
CM_B_UM_029,3,1,1
CM_B_UM_031,0,1,1
CM_B_UM_031,1,1,1
CM_B_UM_031,2,1,1
CM_B_UM_031,3,1,1
CM_B_UM_035,0,0,0
CM_B_UM_035,1,0,0
CM_B_UM_035,2,0,0
CM_B_UM_035,3,0,0
CM_B_UM_036,0,0,1
CM_B_UM_036,1,1,1
CM_B_UM_036,2,1,1
CM_B_UM_036,3,1,1
CM_B_UM_037,0,0,0
CM_B_UM_037,1,0,0
CM_B_UM_037,2,0,0
CM_B_UM_037,3,0,0
CM_B_UM_042,0,1,1
CM_B_UM_042,1,1,1
CM_B_UM_042,2,1,1
CM_B_UM_042,3,1,1
CM_B_UM_048,0,0,0
CM_B_UM_048,1,0,0
CM_B_UM_048,2,0,0
CM_B_UM_048,3,0,0
CM_B_UM_051,0,0,0
CM_B_UM_051,1,0,0
CM_B_UM_051,2,0,0
CM_B_UM_051,3,0,0
CM_B_UM_053,0,0,0
CM_B_UM_053,1,0,0
CM_B_UM_053,2,0,0
CM_B_UM_053,3,0,0
CM_B_UM_057,0,1,1
CM_B_UM_057,1,1,1
CM_B_UM_057,2,1,1
CM_B_UM_057,3,1,1
EL_A_001,0,1,1
EL_A_001,1,1,1
EL_A_001,2,1,1
EL_A_001,3,1,1
EL_A_002,0,0,0
EL_A_002,1,0,0
EL_A_002,2,0,0
EL_A_002,3,0,0
EL_A_003,0,1,1
EL_A_003,1,1,1
EL_A_003,2,1,1
EL_A_003,3,1,1
EL_A_004,0,0,0
EL_A_004,1,0,0
EL_A_004,2,0,0
EL_A_004,3,0,0
