family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,9.71875,0.031152647975077885
CM_B_UM_059,0,1,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,13.0,-0.2959501557632398
CM_B_UM_059,0,1,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",10.03125,11.4375,-0.14018691588785037
CM_B_UM_032,0,1,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,5.75,-0.03370786516853941
CM_B_UM_032,0,1,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,10.625,-0.9101123595505618
CM_B_UM_032,0,1,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.5625,8.53125,-0.5337078651685394
CM_B_STD_006,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,4.9375,0.09195402298850575
CM_B_STD_006,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,8.65625,-0.5919540229885059
CM_B_STD_006,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.4375,7.90625,-0.4540229885057472
CM_B_UM_055,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,4.859375,0.06042296072507558
CM_B_UM_055,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,10.015625,-0.9365558912386707
CM_B_UM_055,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",5.171875,7.453125,-0.44108761329305146
CM_B_STD_013,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,4.78125,0.037735849056603765
CM_B_STD_013,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,8.1875,-0.6477987421383649
CM_B_STD_013,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.96875,7.40625,-0.49056603773584895
CM_B_UM_009,0,1,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,4.21875,0.0357142857142857
CM_B_UM_009,0,1,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,8.25,-0.8857142857142857
CM_B_UM_009,0,1,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",4.375,5.84375,-0.33571428571428563
CM_B_UM_013,0,1,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,2.4375,0.2941176470588235
CM_B_UM_013,0,1,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,9.890625,-1.8642533936651584
CM_B_UM_013,0,1,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.453125,8.515625,-1.4660633484162897
TH_B_UM_006,0,1,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,3.078125,0.09633027522935778
TH_B_UM_006,0,1,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,7.359375,-1.1605504587155964
TH_B_UM_006,0,1,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.40625,5.53125,-0.6238532110091743
CM_B_UM_006,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,2.921875,0.06965174129353235
CM_B_UM_006,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,5.796875,-0.8457711442786069
CM_B_UM_006,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",3.140625,3.828125,-0.2189054726368158
TH_B_UM_008,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,2.609375,0.0972972972972973
TH_B_UM_008,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,5.828125,-1.016216216216216
TH_B_UM_008,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.890625,4.421875,-0.5297297297297296
EL_B_002,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,2.6171875,0.07202216066481992
EL_B_002,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,11.1796875,-2.96398891966759
EL_B_002,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.8203125,6.7890625,-1.4072022160664819
CM_B_UM_012,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,1.8125,0.34090909090909094
CM_B_UM_012,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,7.640625,-1.7784090909090908
CM_B_UM_012,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.75,4.859375,-0.7670454545454546
CM_B_004,0,1,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,2.09375,0.216374269005848
CM_B_004,0,1,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,4.75,-0.7777777777777777
CM_B_004,0,1,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.671875,4.09375,-0.5321637426900585
CM_B_STD_015,0,3,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.625,2.40625,0.08333333333333337
CM_B_STD_015,0,3,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.625,5.0,-0.9047619047619047
CM_B_STD_015,0,3,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.625,3.875,-0.4761904761904763
CM_B_UM_001,0,2,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.46875,2.4375,0.012658227848101222
CM_B_UM_001,0,2,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.46875,3.5625,-0.4430379746835442
CM_B_UM_001,0,2,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.46875,2.6875,-0.08860759493670889
CM_B_STD_014,0,3,4,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.40625,2.28125,0.051948051948051965
CM_B_STD_014,0,3,8,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.40625,3.71875,-0.5454545454545454
CM_B_STD_014,0,3,12,resid_post_last_prompt,head_knockout,,"26,24,13,11",2.40625,3.09375,-0.2857142857142858
